stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,27.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.99,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,54.69,8.3,0,54.31,0,0,0,10.89,0,0,0,0,0,97.16,0,0,0,0,0,0,0,0,0,0,0,90.65,102.07,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.99,0,121.7,0,11.9,0,23.14,0,0,0,0,0,118.22,0,0,0,0,0,0,0,0,0,0,0,269.82,195.17,0,0,118.48,0,0,60.52,0,5.88,0,0,0,0,0,0
 14-21,0,0,0,3.78,55.18,3.83,0,0,0,0,0,20.62,13.81,25.41,5.4,0,0,0,0,182.16,0,64.23,0,0,34.78,49.35,44.02,0,0,4.69,3.56,28.56,0.84,1.65,44.24,69.84,0,0,0,0,0
 24-34,0,0,0,4.23,4.81,0.66,0,1.04,0,0,2.25,17.28,0.67,4.49,0,0,0.62,0,0,160.73,0,38.64,2.57,0,15.65,43.98,7.07,0,0,0,7.07,0,0,0,11.81,50.04,0,0,3.69,0,0
 36-46,0,0,0,1.23,1.03,0,0,2.65,0,0,2.89,2.71,1.31,0,0,0,0,0,0,89.93,0,10.64,0,0,5.61,43.7,5.5,0.94,0,0,5.42,0,0,0,0,23.05,0,0,0,0,0
 48-58,0,0,0,0,6.81,0,0,4.37,0,0,1.4,3.73,0,2.3,0,0,0,0,0,89.18,0,14.27,1.12,0,0.61,19.01,0,0,0,0,0.5,0,0,0,0,2.18,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,17.19,2.66,0,0,0,0,0.97,0,0,0,0,0,79.34,0,11.64,0,0,0.77,6.39,0,0,0,0,0.99,0,0,0,0,0,0.81,0,2.21,0,0
 72-82,0,0,0.68,0,3.93,7.1,0,19.93,0,0,7.44,8.68,1.37,0,0,0.65,0,0.75,0,288.78,0,13.39,0,0,2.28,49.95,0,0,0,0,1.89,0,0,0,0,1.98,0,3.83,0,0,1.88
 84-94,0,0,7.05,0,1.54,0,1.72,17.79,0,0,6.47,0,3.49,0,0,0,0,0,0,1043.87,0,10.53,2.16,0,0.77,47.57,0,0,1.1,0,1.92,0,0,0,0,0,1.67,0,4.49,0,0
 96-106,0,0,4.41,0,11.55,37.26,0.59,44.55,0,0,8.22,23.88,10.25,0,0,2.78,0,0,0.75,2003.95,0,44.95,0,0,5.06,246.76,0,0,1.78,0,13.42,0,1.05,1.11,0,8.68,2.05,2.36,2.2,4.63,3.23
108-118,0,0,0.64,0,7.46,2.06,1.47,90.68,0,2.9,2.92,16.93,9.6,0,0,6.99,0,0,0.69,4011.36,1.27,55.2,17.9,2.23,3.06,216.26,1.13,4.18,0,0,7.74,0,0.66,0,0,4.32,0,0,9.15,3.7,2.86
120,0,0,0,0,25.26,0,0,20.81,0,0,0,4.67,0,0,0,2,0,0,0,1630.98,0,28.13,0,0,0,133.38,0,0,4.38,0,1.93,0,0,0,0,0,0,0,0,0,0
