stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.25,832.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.26,0,0,0,0,0,0,0,0,0,0
  5-6,63.98,911.2,0,12.33,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.24,0,5.73,0,0,0,41.95,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,331.27,6.39,0,0,155.39,0,3.28,15.56,0,0,0,0,0,0,0,0,0
 10-12,0,19.16,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.38,6.25,0,0,130.38,0,0,4.94,0,7.61,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,13.76,0.84,0,6.98,0,0,1.6,0.82,0.86,0,0,1.26,0,0,0.86,2.43,11.88,0,0,0.91,141.26,0.94,0,0,1.97,0,5.37,3.55,6.54,1.91,3.06,40.27,0,0,3.25,0,6.38
 24-34,0,0,0,0,4.83,0.69,0,44.94,1.32,0.7,8.71,2.61,0,8.2,3.46,0.7,1.14,0,1.3,20.69,14.87,0,0,6.67,537.43,0,10.19,3.62,1,0,14.17,0,0,1.33,2.96,100.32,0,0,5.78,0,18.82
 36-46,0,0,0,0,1.26,1.4,0,45.73,0,0.82,16.18,0,0,0,13.37,0.78,1.36,0,2.69,17.85,26.19,0,0.72,1.95,531.15,0,14.07,0.61,0,0,11.15,0,3.04,0.75,0,95.16,0,0,8.47,0,17.77
 48-58,0,0,0,0,8.48,0,0,143.82,0.52,3.67,14.91,1.18,0,2.04,2.8,0.91,5.34,0.4,0,11.36,47.1,0,1.59,3.57,633.34,0.57,4.92,1.36,0,0,10.69,0,0,0,0,125.54,0,0,4.57,0,28.64
 60-70,0,0,0,0,5.59,3.32,0,248.27,3.18,4,40.39,4.56,0,0,21.41,0,6.17,0,0,22.65,69.59,0,3.02,3.91,583.02,0,2.23,2.95,0,0,18.4,0,0,3.39,0,45.96,3.21,1.89,3.85,0,7.08
 72-82,0,0,0.98,0,9.75,14.3,1.65,293.17,2.5,4.75,54.73,6.77,0,0,8.07,1.13,0,3.87,1.83,1.45,128.13,0,1.96,8.52,435.53,0.55,2.68,16.12,0,1.06,21.53,0,0,3.13,0,54.59,0.68,4.25,13.93,0.64,13.49
 84-94,0,0,0,0,9.89,18.14,0,163.79,4.28,5.49,30.86,1.62,1.23,0,6.37,3.64,4.51,0,3.13,7.55,76.06,2.64,4.17,5.36,267.94,0.63,4.67,19.79,0,0.6,37.21,0,0,3.33,0,19.62,0,0,3.82,1.34,11.54
 96-106,0,0,0,0,17.44,31.75,0,126.18,8.13,1.81,29.69,0,0,0,15.79,2.98,1.28,4.04,0,5.72,88.25,14.03,6.19,4.8,273.81,0,11.99,9.45,0,2.47,70.74,0,0,0,0,11.16,0,2.17,8.34,0.91,16.44
108-118,0,0,2.3,0.74,23.62,12.39,1.4,125.79,3.39,1.93,21.51,3.59,0,0,15.97,3.26,2.94,2.96,1.66,8.93,88.61,3.53,2.87,7.37,256.71,0,19.47,5.56,0,7.8,38.21,0,0,0.96,0,4.4,2.94,2.36,0.45,5.67,4.28
120,0,0,0,0,24.93,18,2.19,47.48,4.49,3.22,17.92,2.51,0,0,56.32,8.85,2.6,9.55,1.06,10.34,114.27,0,2.33,1.54,385.69,0,4.2,9.53,0,0,38.24,0,0,5.04,0,12.08,2.9,1.52,1.51,0,1.16
