stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.18,0,0,6.85,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,9.3,0,0,0,0,0
 24-34,0,0.6,1.38,0,2.89,0,0,0.68,0,0,0,0,0,0,0,23.05,6.69,0,0,0,347,23.9,0,0,0,0,0,39.99,0,0,0,0,7.25
 36-46,0,0,17.96,0,41.91,0,1.23,27.57,0,0.65,0,0,2.15,0,0,7.2,7.83,0,0,0,995.5,35.03,0,0,0,11.35,0,134.51,0,0,0,0,4
 48-58,0,0,3.86,0,292.06,3.6,5.81,61.92,4.17,0,0.8,0,0,0,5.01,46.58,12.36,0,0,1.04,1931.88,23.94,0.7,0,0,7.09,1.01,156.98,0,0,0,0,11.8
 60-70,0,0,7.3,1.4,618.52,0,10.49,83.62,0,2.9,0,0,0.89,0,0,24.45,22.61,0,0.93,1.13,2797.93,16.83,3.63,0,2.07,2.27,0,299.79,0,0,0,0,15.64
 72-82,0,0,24.63,8.04,625.92,1.43,0,61.93,0.56,0,0.68,0,0.54,0,1.26,22.8,27.27,0,0,1.03,2053.93,19.7,0.81,0,0,0,0,218.09,0.87,0.63,4.53,0,16.85
 84-94,0,0,9.05,0,474.42,0,1.77,78.61,0.76,0,1.26,1.27,0.67,1.47,10.67,50.82,43.06,1.21,3.55,3.07,1473.79,17.23,0.72,0,0,11.22,0,103.71,0,2.41,2.27,0,3.6
 96-106,0,0,11.18,10.53,298.29,2.39,0,42.93,0,0,3.22,0,0.75,1.11,0,18.5,16.73,0,3.24,8.21,1063.79,24.01,3.88,0,0,9.24,0,50.79,3.02,2.52,5.21,0,1.38
108-118,0,0,18.16,3.87,272.9,0,2.02,54.88,3.11,0,1.24,0,3.32,5.2,0,41.73,35.09,0,3.6,0,1476.32,25.15,0,0,0,0.42,0,59.01,0,0,0,2.47,18.12
120,0,0,20.23,14.01,457.03,0,0,84.5,0,0,4.07,1.65,0,0,0,12.88,24.8,0,8.42,3.51,2872.27,60.84,0,0,0,7.52,0,128.48,0,16.38,17.29,0,0
