stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,neural,paraxial.mesoderm,periderm,somites,spinal.cord,taste,xanthophores
  3-4,24.49,60.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,0,0,0,0,0,18.63,9.72,3.37,0,0,0,0
 10-12,0,0,5.78,0,5.13,0,0,0,0,0,0,0,30.75,6.75,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.06,7.6,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.82,8.36,0,0,0,11.12,0,7.36
 36-46,0,0,0,0,0.89,0,4.07,0,0,0,0,0,11.16,0,2.26,0,7.79,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,8.04,16.83,0,0,0,2.88,0,0
 60-70,0,0,0,0,6.82,0,15.99,0,0,0,0,0,16.07,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.66,0,0,0,0.74,0,0,0,0,0.81,0
 84-94,0,0,0,0,0,0,2.98,0,0,1.46,0,0,3.64,0,0,0,0,0,0
 96-106,0,0,0,0.99,0.63,1.31,0,0,0,0,9.02,1.27,2.14,0,0,0,0,0,0
108-118,0,0,0,1.04,0.78,0,12.06,0.49,0,0,0,3.28,0,0,0.79,0,0,0,0
120,0,0,0,2.63,0,0,0,0,0,0,0,0,16.89,0,0,0,0,0,0
