stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,22.99,0,0,0,0,12.04,0,0,0,0,0,0,0,0,54.72,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.98,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.32,0,1.13,0,0,0,1.21,0,0,0,0,0,0,0,0,4.75,4.5,0,0,0,0,0,0,0,50.74,31.22,2,0,0,0,0
 24-34,0,0,0.8,0,0.61,0,0,4.01,41.13,0,0,0,0,0,0,0.59,0,1.38,5.82,0,34.73,80.44,0,1.47,0,0,0,6.62,0,32.32,79.52,12.03,0,5.57,0,0
 36-46,0,0,0,0.56,0.61,0,0,1.03,107.81,0,0,0,0,0,0,1.03,0,0,2.39,0,5.83,53.52,0,0.89,1.46,0,0,0.77,0,25.42,2.11,4.4,0,0,0,7.57
 48-58,0,0,0,0,0,0,0,22.54,87.37,0.75,7.14,0,0,0,0,0,0,0,5.44,0.39,17.03,90.16,0,0,0,0,0,0,0,22.98,0,11.5,0,2.04,0,6.71
 60-70,0,0,0,0,0,0,0,52.14,52.18,0,5.1,0,0,0,0,0,1.26,0,7.65,0,12.28,119.66,0,0.67,3.17,0,0,9.11,0,25.53,0,11.17,0,3.69,0,12.25
 72-82,0,0,0.76,0,0,0,0,22.36,58.52,0,7.18,0,0,0,0,1,0.62,0,13.18,0,11.97,78.28,0,2.68,4.4,0,0.83,0.71,0,10.02,0,2.9,1.7,0,0,5.08
 84-94,0,0,0,0,0.57,0,0,17.56,58.72,0,3.98,0,0,0,0,0,0,0.68,3.78,0,27.84,30.8,0,0,6.43,3.85,0,12.46,0.87,15.33,0,1.84,0,0,5.55,7.57
 96-106,0,0,0,0,2.66,0,0,21.19,89.87,0,15.91,0,0,1.61,1.57,1.8,2.6,0,15.13,0,10.98,60.08,0,0.74,8.75,1.2,0,1.1,0.73,11.02,0,3.44,0,0,0,2.39
108-118,0,0,0,0,0.63,0.48,0.5,24.94,63.02,0.48,5.68,0,0,0,0.62,0,3.18,3.58,5.59,0,27,41.52,0.58,0,5.02,0,0,0.83,0,13.24,0,0,0,6.03,0,0
120,0,0,0,0,0,4.14,0,27.66,50.88,0,0,0,0,0,0,0,0,0,0,0,25.1,31.17,0,0,14.1,0,0,0,0,10.22,0,0,0,7.48,0,0
