stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vasculature
  7-9,4.95,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,1.16,0,2.1,4.04,0,0.85,1.16
 24-34,0,0,1.26,0,0,0,0,0,0,0,0,0,0,12.26,0,2.95,9.73
 36-46,0,0,0,0,0,0,0,1.55,0,0,0,0,0,24.58,0,2.7,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,2.24,0.47
 60-70,0,1.36,0,4.24,0,4.09,0,0,0,0,3.01,0,0,8.55,0,0,8.38
 72-82,0,0,0,0,0,0,0,0.58,0,0,0,0,0,18.41,0,0,4.62
 84-94,0,0,0,1.06,2.61,0,0,0,0,0,0,1.58,0,0.92,1.57,0,0
 96-106,0,0,0,0.77,0,0,0,0,0.66,3.85,0,0,0,3.39,0,0,1.24
108-118,0,0,0,0,0,1.01,0.91,0,0,0,1.11,0,0,0,0,0,8.76
120,0,0,0,1.31,0,0,0,0,0,0,1.05,0,0,9.81,0,0,0
