stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,xanthophores
  3-4,430.85,7897.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770.32,0,0,0,0,0,0,0
  5-6,364.28,3245.81,0,32.96,0,0,0,0,0,0,0,37.33,0,0,0,0,0,0,112.29,0,0,0,47.51,1986.06,0,0,0,0,0,0,0
  7-9,14.43,33.74,0,21.29,0,0,0,14.97,0,0,0,18.33,0,0,0,0,0,0,435.48,5.45,0,0,128.98,128.61,17.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.93,0,0,0,3.19,0,0,0,0,0,0,83.37,3.36,0,0,24.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.58,15.14,0,0,0,0.87,0,0,0,15.38,0,0,0,0,0,0.83,0,0,0,0,7.45,0,1.43,0,9.17,0.96,0,0
 24-34,0,0,0,0.76,1.69,0,0,0,0,0,0.68,0.76,49.66,0,0.86,0,16.54,0.82,16.53,0,12.41,1.99,0,8.08,0,0,0,0,0.66,0,0
 36-46,0,0,0,0,20.04,0,0,2.45,0,0,1.28,0.76,24.43,5.15,0,0,25.26,0,54.39,1.39,12.55,0.57,0,5.52,0,0,0.86,0,0,0,0
 48-58,0,0,0,0,2.14,0,0,1.04,0,0,0.54,7.6,13.65,1.39,5.5,0,25.03,0.76,19.55,0,11.47,0.96,0,4.43,0,0,0.44,0,1.71,0,0
 60-70,0,0,0,0,3.21,0,0,2.07,0,0,0.64,7.38,21.62,2.72,0,0,9.77,0,16.64,0,4.8,8.99,0,12.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.17,1.2,0,1.19,0.81,2.86,1.89,1.97,26.83,9.29,0,0,32.9,1.57,26.78,0,15.25,4.11,0,7.25,0,0,0,0,0,12.4,7.55
 84-94,0,0,0,0,15.61,0,0,3.08,0,0,2.03,2.84,28.43,4.9,0,0,48.33,0,21,0,16.22,1.44,0,26.27,0,0,1.93,0,0,33.71,0
 96-106,0,0,0,0,17.72,4.59,0,0,2.17,2.84,13.54,1.06,44.37,11.35,7.38,1.91,45.87,2.48,8.4,0,38.22,3.12,0,22.38,0,0,0,0,0,132.76,0
108-118,0,0,0.84,0,13.02,0,0.78,6.74,1.81,0,11.94,0,34.19,9.37,0,3.25,40.58,0,8.46,0,26.66,0.66,0,19.17,0,0,0.48,0,0,144.06,0
120,0,0,0,0,30.82,0,0,4.48,3.06,1.07,3.85,0,17.68,12.56,0,0,10.88,0,0,0,16.28,0,0,3.92,0,0,0,0,0,44.67,0
