stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,12.63,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.52,4.23,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0
 14-21,0,0,0,1.57,0,0,0.9,0,6.84,0,0,0,0,0,1.89,0
 24-34,0,0,0,0,0,1.05,0.84,0.61,2.09,0,0,0,0,0.62,0.93,0
 36-46,0,0,6.53,0,0,0.74,0,0,1.85,0,0,0,0,0,1.16,0.65
 48-58,0,0,0,0,0.83,0,0,0.63,0.48,0,0.91,0,0,0,0,0
 60-70,0,0,0,0,3.26,0,0,0,1.52,0,0,0,0,0,0,0
 72-82,0,0,2.04,0,0,0,0,0,0,0,0,0,0.5,0,0,0
 96-106,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,0
