stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,4.55,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,10.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.81,0,0,0,13.46,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0.86,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,75.82,0,0,0,1.09,0,0,3.86,0.83,20.82,0,0,0,0,0
 24-34,0,0,2.04,0,5.75,0.69,0,4.49,0,0,0,0,0,0,1.95,0,0,0,2.24,0,0,0,426.59,0,14.44,10.05,0,0,3.42,0,0,121.03,0,0,2.86,0,0
 36-46,0,0,0,0,0.82,0.6,0,43.02,0,0.62,0,2.36,0,0,0.98,0,0,0,3.57,0,0,1.88,1404.26,0,13.77,4.39,0,0,0,0,0,188.4,0,0,0.56,0,0
 48-58,0,0,0,0,8.93,0,0,253.57,0,0,0,26.8,0,0,0.52,4.36,2.17,0,20.12,0.7,0.48,2.13,3026.06,0,7.47,3.58,0,0,7.49,0.74,0,315.63,0,0,0.77,0,1.8
 60-70,0,0,0,0,5.55,2.6,0,614.39,0,4.47,1.5,45.86,0,0,1.08,1.28,8.39,0,42.65,0.67,0,5.24,4597.45,0,8.27,21.19,0,0,14.15,0.59,0,517.6,0,0,0.63,0,4.96
 72-82,0,0,0,0.75,19.95,1.09,0,656.91,0,0,6.87,53.3,1.68,4.02,0.74,3.45,0.79,1.71,50.31,0,0.9,1.71,4508.94,0,10.21,28.38,0,0,7.42,0,0,416.53,0,0,8.81,0.96,0
 84-94,0,0,0.86,0,8.74,2.41,3.04,508.56,0,0.6,8.84,49.01,1.94,1.48,5.12,0,0.9,3.62,55.36,0,1.92,2.37,2905.03,0,6.83,30.01,0,0,5.08,1.44,0,277.34,0.66,0,5.02,2.23,0
 96-106,0,0,0,0,16.6,14.77,0.62,448.16,0,3.32,0,52.54,2.04,0,0,2.5,6.74,9.42,37.08,3.71,0.59,1.69,2426.7,0,6.02,32.05,0,1.6,18.06,0.58,0,97.84,2.03,1.93,12.14,2.52,0
108-118,0,0,0,0,17.45,5.68,0,411.05,0,0,1.31,56.09,0,1.28,4.18,7.46,2.24,0,32.34,3.79,3.6,0.5,2543.54,0,9.96,28.59,0,0,3.63,0,0,148.64,1.77,0.77,2.71,2.47,2.8
120,0,0,0,0,38.73,3.43,0,449.62,12.08,0,0,61.68,1.21,7.63,0,8.74,2.5,0,53.11,0,9.54,1.12,3552.51,0,26.11,21.89,0,0,12.12,0,0,134.09,0,0,14.5,4.69,0
