stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,4.49,7.34,0,0,0,0,0
 10-12,0,0,0,0,0,13.85,0,0,0,0,0,0
 14-21,0,0,2.38,0,0,21.56,5.92,0,0,26.99,0,0
 24-34,1.15,0,28.44,1.9,0.6,92.61,0.73,0,1,138.14,1.08,0
 36-46,0,0.6,23.27,1.59,0,72.19,0,0,6.13,118.93,1.05,0
 48-58,0.39,0.38,22.33,2.75,0,37.73,0,0.63,10.96,44.72,1.5,0
 60-70,0,1.28,7.7,0.85,0,7.22,0,0,4.38,11.15,0.58,0
 72-82,0,2.75,6.77,3.26,0,7.77,0,0,1.06,4.49,0,1.5
 84-94,0,0.65,4.12,0,0,5.31,0,0,2.15,9.61,8.89,0
 96-106,0,0,6.45,10.87,0,11.13,0,0,2.25,0,0,0
108-118,0,2.45,15.28,1.17,0.64,1.54,0,0,4.05,1.39,3.68,0
120,0,0,12.59,0,0,7.43,0,0,1.69,0,0,0
