stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,neural,notochord,otic,paraxial.mesoderm,spinal.cord
  3-4,14.5,0,0,0,0,0,0,0,0,0
  5-6,23.3,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.78,0,0,0,0,3.77,0
 24-34,0,0,0,0,0,2.42,0.75,0.9,0,0
 36-46,0,0,0,0,0,7.26,0,0.84,0,0
 48-58,0,0,0,0,2.51,0,0,0,0,0.44
 60-70,0,0,0.84,0,0.78,1.39,0,0,0,0
 72-82,0,0,3.13,0,2.71,0,0,1.64,0,0
 84-94,0,0,0,0,0,0,0,1.57,0,0
 96-106,0,1.16,0,0,0,1.48,0,0,0,0
108-118,0,0,7.95,0,1.53,0,0,0.58,0,0
120,0,0,0,0,0,0,0,4.21,0,0
