stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.33,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.29,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.09,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0.88,9.1,0,0,0,0,0,0,2.89,0,0,0.88,3.88,0,0,1.24,0,0
 24-34,0,0,0.9,9.34,0,0,6.29,0,1027.31,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0.69,62.9,0,0,0,0,0,4.7,0,0,0,0,8.47,0,0,2.93,0,0
 36-46,0,0,0,16.02,0,0,25.09,0,5922,21.88,6.36,0,0,0,0,1.57,0,0,0,5.58,17.88,0,0.89,10.74,174.8,0.58,0.88,0,0,0,4.56,0,0.81,0,0,31.93,0,0,1.37,0,0
 48-58,0,0,0,8.45,0.52,0,95.46,1.35,9214.98,35.84,24.03,0,0,0.4,1.09,0.48,0,0,1.38,3.82,32.2,0,0,8.52,355.08,3.62,0,0.74,0,0,24.04,0,0,1.67,0,57.47,0,0,5.32,0,18.1
 60-70,3.23,0,0,54.99,1.83,0,148.28,0.58,13430.85,44.07,20.34,0.64,0,0,5.87,2.54,0,0.63,0,0,54.52,0,1.05,4.03,256.18,0,1.69,6.45,0,0,158.26,0,9.18,0,0,36.99,0,0,8.24,0,17.2
 72-82,0,0,0,14.21,4.66,0,163.34,0,12196.18,37.6,15.69,0,2.07,2.63,5.15,0,0.71,3.67,6.13,4.12,47.57,0,5.2,2.29,318.18,0,3.77,0.99,0,0,138.05,0,1.24,0,0,23.64,0,0,5.02,34.21,6.42
 84-94,0,0,4.51,57.46,8.77,0,135.12,12.17,17811.48,1.74,13.53,21.46,0,0,4.55,0.68,1.72,0.76,10.67,0,134.45,0,0.69,7.31,167.54,0,0,0,0,0,356.82,0,0,0,0,17.42,37.9,0,2.61,13.04,5.18
 96-106,0,0,1.08,110.33,45.09,4.73,218.07,0,19146.14,165.51,58.87,7.61,0,8.72,13.51,12.99,0.64,37.07,21.27,0,135.77,0,3.91,18.16,454.79,0,5.67,3.6,0,13.42,382.68,0,0,0,0,21.57,1.13,0,15.5,0,52.58
108-118,0,0,0.57,107.39,18.98,3.2,144.11,0.67,26777.93,70.71,66.23,17.22,0,0,5.3,3.25,1.77,7.84,16.93,8.09,114.3,0,3.24,12.15,299.03,1.1,2.17,2.23,0,4.4,448.7,0,1.07,0.43,0,17.01,9.8,2.59,18.68,5.46,6.34
120,0,0,0,236.36,16.4,0,65.58,4.64,19610.62,14.76,43.4,35.09,0,9.87,15.34,0,0,2.38,8.61,0,131.03,12.6,0,6.18,291.19,2.15,4.5,8.14,0,0,233.02,0,9.41,0,0,7.11,0,3.52,16.7,0,0
