stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0.88,0,0,0,2.75,0,0,0,0,0,0,0,0,24.73,0,2.11,0,0,0,0.84,1.39,25.46,0,0,0,0,0
 24-34,0,0.68,0,3.35,0,0.71,0,0,0,0,0,0,3.16,0,0,7.29,196.53,0,0,0,0,0.65,0,0.6,55.95,0,0,7.04,0,3.54
 36-46,0,0,0,33.01,0,1.39,0,5.91,1.7,0,0,0,3.99,0,0,2.11,436.58,4.02,1.71,0,0,0,0,0,99.32,0,0,1.23,0,0
 48-58,0,0,0,141.8,0,0,0,13.98,0,0.42,0,0,7.14,0,0,1.9,573.33,0,0,0,0,0,0,0,102.88,0,0,0.91,0,5.1
 60-70,0,2.49,2.26,501.8,0,0,0.68,10.75,0.9,0,10.16,0,25.11,3.37,0,1.54,566.03,0,4.42,0,0,0,0,0,50.75,0,0.99,0,0,0.77
 72-82,0,4.15,0,541.99,1.78,0.5,0.6,22.91,0,0,0,4.72,19.03,0,2.01,5.78,782.6,1.82,0,0,0,0,0,0,52.66,1.69,0.63,3.92,0,0
 84-94,0,1.13,0,381.57,0.81,2.61,0,20.77,0,2.89,0,0,7.41,0,0,2.82,470.56,0,0,0,0,0,0,0,76.25,1.86,0.98,13.94,0,7.87
 96-106,0,2.3,0,279.34,0,2.75,7.99,26.14,2.94,1.89,0,1.06,20.88,0,3.48,7.22,375.52,3.84,0,1.58,0,0,0,0,16.15,0,0,3.22,0.64,0
108-118,0.41,8.76,0,258.69,0,0,0.94,13.4,1.53,2.98,0,0,23.75,0,0,1.71,446.11,1.99,0,0,1.59,0,0,0,8.43,0.67,1.66,7.26,2.27,2.06
120,0,2.83,0,139.14,0,0,0,6.87,0,1.05,0,0,1.56,0,2.18,4.35,248.98,0,14.75,0,0,0,0,0,7.79,0,0,0,0,8.94
