stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,213.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.4,0,0,0,0,0,0,0,0,0,0
  5-6,90.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.77,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,7.33,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.29,0,0,0,17.12,0,7.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.18,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.93,0,0,0,11.51,0,0,0,11.65,0,0,0,0,0,0,0,0
 14-21,0,1,40.54,11.2,0.82,0,0,0,0,1.08,3.13,0,0,1.05,0,0,0,0,2.9,2.03,0,4.99,51.06,8.4,0,2.36,2.43,0,168.78,6.05,0,0.97,2.96,18.31,0,0,6.42,0,0
 24-34,0,1.44,2.01,0.74,2.47,0,0,0,1.94,0,0,1.99,0,0,0,0,0,0,13.18,0,0,2.43,34.07,0.64,0,0,0,0,57.64,0,0,0,0.67,9.29,0,0,12.27,0,0
 36-46,0,0,0,1.5,1.23,0,0,2.14,9.08,0,0,2.56,1.53,0,0,0,5.06,0,17.88,0,0,5.03,43.48,0,0.81,0,0,0,91.14,0,0,0,0,17.8,0,0,5.99,0,0
 48-58,0,0,0,0,9.39,0,0.42,0.42,12.88,0,0.49,0,6.57,0,0,0,0,0,12.19,0,0,1.18,19.22,0,0,0,0,0,50.46,0,0,0,0,2.64,0,0,8.12,0,5.8
 60-70,0,0,1.48,0,34.97,3.43,0.69,0,39.43,0,1.21,0,16.31,0,0,0,1.78,0.98,32.63,0,3.5,0.75,16.45,0,0,0.77,0,0,33.65,0,0,0,0,11.36,0,0.63,0,0,0.69
 72-82,0,0,3.23,0.72,16.77,0,0,0.55,58.51,0.63,0,0,8.67,1.16,0,0,0,0,30.1,0,0,0.84,12.76,0,1.03,1.98,0,0,9.51,0,0,0,0,2.38,0,2.08,12.61,0,0
 84-94,0,0,4.24,0.92,37.06,1.38,0,0.64,90.14,0,0,3.85,12.03,0.92,0,0,2.11,0,28.89,1.73,0,2.34,1.26,0,0,0,0,4.92,12.85,0,0,0,0,2.94,0,1.25,12.29,5.09,9.28
 96-106,0,0,1.23,0,57.57,0,0.71,1.09,138.33,0,0,2.55,13.3,8.16,2.7,0.62,0,0,20.42,0.97,0,1.63,9.57,0,0,2.03,0,0,82.83,0,0,0,0,8.7,0,1.98,4.5,0,0
108-118,0,0,7.77,0,108.11,0,1.14,0.77,187.48,0.62,0,0,15.13,2.27,0,0,1.32,0,34.89,0.51,3.76,0,27.88,0,2.63,1.07,0,2.98,66.28,0,0,0,0,0,1.21,1.55,4.76,0,0
120,0,0,39.3,0,85.67,0,2.63,3.89,265.96,1.26,0,0,19.21,3.58,0,0,0,0,22.37,0,0,0,44.22,0,0,2.3,0,0,45.52,0,12.14,0,0,0,1.63,2.15,7.72,0,0
