stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.81,2.25,4.82,6,0,0,3.13,0,0,0,0,5.99,0,0,0,0.86,6.73,0,0,4.03,60.31,0,0,0.88,0,0,0,7.69,0,1.32,2.41,41.71,0,0,0,0,0
 24-34,0,0,0,1.28,1.11,27.65,0,0,2.39,0,0,0,0,30.57,0,0,0,0,12.64,5.07,0,7.97,327.85,1.35,4.76,0,0,0,0,0,1.38,0,3.3,163.19,0,0,1.14,0,0
 36-46,0,0,0,1.68,0,140.21,0,0,18.19,0,0,0,0,19.75,0,0,0,3.76,14.88,3.35,0,14.15,666.73,0,9.26,0.61,0,0,0,0,1.04,12.24,0,212.12,0,0,1.04,0,0
 48-58,0,0,0,3.69,0,429.98,0,0.53,17.17,0,0,0.39,0,12.12,0,0.97,13.3,0,36.87,1.39,0,7.52,996.68,1.2,7.61,1.13,0,0,0,0,0.73,0,0,224.72,0,0,12.6,0,9.57
 60-70,0,0,0,9.67,0,924.42,5.59,2.29,47.91,0,0,0,9.95,25.41,0,0,0,0,114.78,0,0,2.69,990.67,0,10.74,1.26,0,3.16,0,0,0,0,0,168.33,0,0,48.28,0,0
 72-82,0,0.98,0,8.43,0,1277.98,0,0,90.27,1.38,0,0,0,9.61,0,0.92,0,0,299.97,0.94,0,3.37,1285.43,0,9.09,1.74,0.84,1.24,0,0,4.56,0,0,187.91,0,2.53,376.21,0,6.63
 84-94,0,0,0,7.4,0,1200.8,0,0,57.73,0.91,1.95,4.81,1.76,3.5,1.9,0,0,3.31,325.56,6,7.9,0.95,850.22,0,4.88,1.34,0,1.94,1.4,0,1.46,0.57,0,74.21,0,2.53,82.77,0,0
 96-106,0,1.1,0,6.37,9.57,1239.25,0.62,3.4,140.99,0,0,0,4,9.53,2.59,2.77,1.54,1.65,511.81,0.77,1.32,7.63,807.41,0,9.94,10.05,0,1.82,0,0,3.43,0,0,71.85,0,0,277.1,0,0
108-118,3.95,0,0,8.28,1.1,1270.74,0,1.02,92.72,4.9,0,0,0.6,9.82,0,0.9,2.07,1.3,471.65,2.54,5.53,7.5,849.73,0.6,7.73,7.6,0,4.75,0,0,0,0,0,43.72,0,0.9,214.89,0.44,1.42
120,0,0,0,38.64,0,882.25,3.77,3.46,173.87,1.71,0,0,1.23,7.85,1.01,3.18,0,0,369.95,0,0,0,1163.63,0,5.28,1.61,0,1.5,0,0,0,10.96,0,126.66,7.23,0,268.53,0,0
