stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0
  7-9,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0.74,4.23,0,0,0,0,0,0,0.73,0,6.55,0
 36-46,0,0,0,1.24,0,0,0,0,0,0,6.67,0,0,9.3,0,0,0,0,0,0,0,1.19,0,6.05,0
 48-58,0,2.8,0,0,0,1.42,0,0,0.4,0,1.49,0,0,1.72,0.4,0,0,0,0,0,0,0,0,2.99,0
 60-70,0,0,0,1.21,0,0,0,0,0,0,7.18,0,0,0,5.15,0,0,0,0,2.77,0,0,1.31,1.42,0
 72-82,0,0,0,16.14,0,1.08,1.24,0,0,0,24.39,0,0,0,16,0,0,0,0,0,0,6.21,1.82,16.44,0
 84-94,0,0,1.65,0.58,0.67,1,0,0,0.82,1.18,20.28,0,0,0,1.15,0.67,0,0,0,0.56,0,0,2.7,5.4,0.77
 96-106,0,0,0,9.14,0,3.57,1.09,0,1.3,0,30.67,0,2.17,1.19,18.5,0,0.57,0,2.01,0,0.84,0,1.15,9.05,3.11
108-118,0,0,1.35,3.38,0,4.07,0,0,2.67,0,36.96,0,3.95,0,13.6,0,0,0,3.72,0.44,0,0,0,12.29,0
120,0,4.92,0,0,0,4.11,0,0,7.71,0,2.09,1.15,0,0,10.1,0,0,0,0,1.45,0,0,0,5.85,0
