stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,2.56,0,0,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0.82,4.5,0,0
 24-34,0,3.2,0.84,0,0,0.6,0,0,0,4.6,0,0,3.21,0.61,0.72,0,0,2.5,0.94,0
 36-46,0,1.04,0,0,0,0.8,0,0,0,0.72,0,0,21.35,0,0,0,0,2.83,1.85,0
 48-58,0,0.5,0,0,0,0.51,0,0,1.41,0.46,0,0,14.34,0,0,0,0,0,0,0
 60-70,0,15.49,0.64,0.66,0,17.45,0,0,0,0.6,0.7,0,14.11,0,0,0,0,0.6,0,0
 72-82,0,4.6,0,4.08,0,20.75,0,0,0,2.6,1.43,0,4.22,0,0,0,0,0,0,0
 84-94,0,0.84,0,0,0,28.81,6.24,0,0,1.81,3.45,0,4.41,0,0,0,0,0,0,0
 96-106,0,12.44,0,0,1.35,67.83,0,0,0,5.58,0,0,3.19,0,0,5.99,0,4.81,0,0
108-118,0,7.23,0,4.19,0,100.03,0,0.45,0,0.86,2.79,0,5.31,0,0,0,0,0,0,2.62
120,0,0,0,0,0,124.96,0,0,0,8.59,30.1,5.09,9.43,0,0,0,0,0,0,0
