stage,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,3.6,0,4.45,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.8,0,1.89,0
 24-34,0,0,0,0,0,0,0,3.64,0,0,0,0,0.67
 36-46,0,0.61,0,0,3.58,0,1.19,7.65,0,0,0,0,5.53
 48-58,0,0.52,0,0.85,0.39,0,0,2.19,0.89,0,0,0,0.39
 60-70,0,6.81,2.98,0,0,0,1.69,8.26,0,0,0,0,1.03
 72-82,0,1.41,1.44,0,0,0,0,10.41,0,0,0.5,0,0
 84-94,0,5.15,0,2.31,1.65,0,0,4.31,0,0,0,0,1.58
 96-106,0,0,0,0,0,0,0,3.58,0,0,0,0,0
108-118,0.51,0,1.15,0,1.04,1.18,0,9.25,0,0,0,0,0
120,0,0,0,0,5.31,0,0,0,0,0,0,0,0
