stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,357.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.62,196.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,0,0,0,0,0,0,0,0,0,0,0,0,36.82,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,4.32,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.43,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,115.5,6.15,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,3.68,0,0,1.97,0,0,0,1.84,1.97,0,0,0,0.95,0,0,0,8.88,4.11,0,0,0,62.58,0,0.85,0,0.92,0,36.18,0,0.9,2.56,0,0,42.91,0,0,0,0
 24-34,0,0,2.46,2.24,0.65,0,0,14.48,0,0,0,3.07,0,0,0,0,5.5,0,0.78,0,0,1.87,0,0,1.52,276.84,0,12.13,0.72,0,0,112.56,0,0,0.64,1.54,0.63,102.66,0,0,0,0
 36-46,0,0,0,0,0,0,0,33.31,0,0.62,0,12.65,0,0,0.93,0,0,0,0,0,0,5.04,1.99,0,0.8,507.3,0,13.51,0.64,0,0,102.69,0,0,0,0,0,127.85,0,0,0,0
 48-58,0,0,1.1,0.43,1.09,0,0,134.3,1.7,1.48,0,28.29,2.29,0,0.58,3.44,0,7.99,0.49,1.04,0,12.53,1.13,0.58,1.83,526.53,0,14.54,0.6,0,0,44.7,0,0,0,0,0,121.51,0,2.43,0,0
 60-70,0,0,0,0,5.57,0,0,415.26,0.7,1.99,10.18,49.17,0.72,0,0,0.76,0,2.09,0.84,9.14,0,12.89,1.01,0,0.89,857.38,0,8.14,4,0,0,59.66,0,0,1.84,0,0,181.39,0,1.04,0,0
 72-82,0,0,0.83,0,8.94,1.84,0,637.32,0,0,0.61,63.35,0.56,0,0.84,0.83,0.66,0,3.84,0,0,24.28,8.31,0,7.04,948.54,0,14.66,2.64,0,0,47.82,0,0,0,0,0,98.62,4.38,6.13,0.76,2.76
 84-94,0,0,1.65,0,14.44,0.63,0.8,434.22,0,1.01,8.29,34.32,2.36,0,0,0,2.69,1.13,1.32,4.71,0,14.75,1.21,7.46,1.54,678.76,0,4.65,2.18,0,0,102.1,0,0,1.56,0,0,64.59,2.34,0.58,0,0
 96-106,0,0,6.03,0,11.12,3.56,0,531.56,1,0.66,3.37,57.77,10.66,0,0,1.39,3.41,9.37,3.43,4.42,0,47.26,12.28,0,0.79,639.3,0,20.28,4.58,0,1.45,113.26,0,0,1.89,0,0,28.28,8.67,5.12,2.21,3.5
108-118,0,0,4.9,0,25.11,0,0.54,510.18,0,0.74,0,96.96,9.69,0,0,2.02,0,1.63,5.5,0,2.82,20.51,2.35,5.91,0.94,876.52,0,11.86,3.59,0,0,67.66,0,0,1.69,0.57,0,18.31,7.41,0.45,0,0
120,0,0,3.99,0,44.67,0,1.44,438.05,0,2.6,0,146.71,23.05,0,0,1.52,6.25,0,4.79,1.66,0,16.59,1.46,0,3.9,1200.08,0,34.56,1.66,0,0,72.97,0,0,1.79,0,0,41.65,1.12,2.42,0,0
