stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,gut,immune,lateral.line,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,3.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,30.31,0,0,0,3.11,0,0,0
 14-21,0,0,9.96,0,0,0,0,0,0,0,0,0,1.53,54.43,0,0,0,0,0,0
 24-34,0,0,2.03,0,0,2.12,0,0,0,0,0,0,5.04,18.26,0,0,0,0,0,0
 36-46,0,0,3.07,0.93,0,0,0,0,0,0,0,0.57,0.67,25.84,0,0,0,0,0,0
 48-58,0,0,4.49,0,0,0.66,0,0,0,1.96,0,0,2.54,11.96,0,0.7,0,0.44,0,0
 60-70,0,0,0.95,0.8,0,0,0,0,0,0,0,0,5.97,12.41,0,0,0,0,0,0
 72-82,0,0,1.73,3.21,0,0.92,0,0,0,0,0,0,0,9.92,0,1.59,0,3.39,3.83,0
 84-94,0,0,4.97,0,0,1.99,0,0,0.63,0,0,0,11.13,14.11,0,0,0,0,0,0
 96-106,0,0,1.99,0,0.9,0.74,0,0.94,0,1.62,0,4.16,4.25,3.53,0,0,0,0,0,0
108-118,3.95,0,5.88,0,0,1.9,1.42,0.48,0,1.95,0.98,0,7.06,17.82,0,0,0,0,0,0.52
120,0,0,3.47,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0
