stage,blastomeres,epidermis,glial,neural,spinal.cord
  5-6,25.05,0,0,0,0
  7-9,0,0,0,9.32,0
 10-12,0,0,0,6.55,0
 14-21,0,0.87,0,0,0
 24-34,0,0,0,4.84,1.47
 36-46,0,0,0.96,1.72,0
 48-58,0,0,0,1.33,0.43
