stage,glial,mesenchyme,neural,spinal.cord
 10-12,0,0,12.96,0
 14-21,0,0,5.09,1.12
 24-34,0,0,22.33,3.34
 36-46,2.8,0.86,5.87,4.25
 48-58,0.96,0,1.36,2.05
 60-70,0,0,0,0.9
 72-82,2.22,0,0,0
 84-94,1.42,0,2.06,0
 96-106,0,0,0.8,0
120,8.93,0,0,0
