stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,1.13,0,0,1.02,0.84,0,0,0,0
 24-34,2.51,0.64,5.43,0,0,10.92,0,0,0,0,2.67,0,1.44,0,0,0,0,6.08,0,0,1.53,72.43,0,4.85,1.91,0,9.97,0,6.29,3.26,2.87,14.34,0,10.11,0,0
 36-46,0,0,7.06,0,0,19.91,0,0,0,4.69,0,0,0,0,0,1.07,0,14.65,0,0,1.08,37.59,0,2.4,1.32,0,9.65,0,12.12,16.78,0,8.7,0,0,0,0
 48-58,0,0,5.13,0,0,30.01,1.6,4.86,5.71,20.21,1.31,1.35,0,1.22,0,0.39,0,11.73,1.6,0,6.1,48.38,0.99,0,1.57,0,5.39,0,1.31,7.97,0,25.22,0,1.85,0,2.73
 60-70,0,0,1.17,3.58,0,58.17,11.56,1.33,0,16.35,0.56,6.66,3.46,1.85,0,0,0,28.45,0.73,0,1.92,78.72,0,0.96,0,0,8.89,0,2.18,11.97,0,11.02,0,0,0,0.72
 72-82,0,0,2.76,3.26,0,85.28,2.51,0.64,2.29,24.62,3.76,0,1.1,0,1.51,0,4.09,22.51,3.05,0,1.34,70.45,2.07,1.3,1.1,0,4.07,0,6.11,5.73,0,4.84,0.91,13.16,0,6.75
 84-94,0,0,4.67,6.72,0,79.38,0.69,3.13,1.88,9.95,5.36,1.35,1.88,3.39,0,9.21,1.53,15.56,1.94,0.66,3.76,48.67,1.99,0,0.87,0,12.02,0,3.55,0,0,5.44,3.13,6.26,0.87,0.64
 96-106,0,0,2.6,5.59,0,97.63,0.76,0,2.05,6.47,5.72,0,0,2.5,0.75,0.74,6.59,13.03,0,0,2.98,54.45,0,2.87,1.18,0,17.23,0,1.22,0.84,0,4.43,0,3.07,2,0
108-118,0.54,0,8.92,9.15,0,79.77,7.25,3.38,0.59,19.25,5.63,3.14,4.89,4.57,0.43,0.52,1.34,41.91,4.07,0,0,47.67,0.44,1.86,0,1.31,11.5,0,1.21,1.49,0,4.9,0,5.28,2.78,0
120,0,0,22.3,0,1.06,168.15,0,0,1.6,10.04,11.78,4.82,1.51,10.17,2.19,3.3,0,26.88,0,1.45,0,132.6,0,1.26,14.03,0,4.22,0,0,0,0,18,0,0,2.57,0
