stage,epidermis,eye,mesenchyme,neural,periderm,spinal.cord,taste,vascular.smooth.muscle
 10-12,0,0,0,41.4,0,0,0,0
 24-34,0,0,0,3.9,0,0,0,0
 36-46,0,0.77,0,5.66,0,0.71,0,0
 48-58,0,0.59,0,0,0,0,0,0
 72-82,1.28,0.85,0,0,1.71,0,0.53,0
 84-94,0,0,2.5,0,5.72,0,4.78,0
 96-106,2.31,0,0,0,1.74,0,4.87,2.52
108-118,15,0,1.87,0,2.61,0,3.67,0
120,0,0,0,0,2.48,0,0,0
