stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,0,522.73,0,0,0,0,0,0,0,0,0,0,20.87,0,0
  5-6,46.69,303.01,0,0,0,0,0,0,0,0,0,0,25.89,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.26,4.42,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
 36-46,0,0,0,0,9.42,0,0,0,0,0,1.88,0,0,0,0
 48-58,0,0,0,2.22,0,0.39,0,0,0.41,0,0.68,0,0,1.31,0
 60-70,0,0,0.71,0.61,0.64,0,0,0,0,1.31,0,0,0,1.33,0
 72-82,0,0,0,0.89,0,0,0,1.63,0,0,0.75,0,0,0,0
 84-94,0,0,0,1.1,0,0,0,0,0,0,1.98,0,6.5,0.62,0
 96-106,0,0,4.47,0,0,0,0,0,0,0.93,4.74,0,0,0,1.5
108-118,0,0,0,0,0,0,0.43,0,0,0,2.16,0,0,0,0
120,0,0,0,0,0,0,0,5.44,0,0,4.77,0,0,0,0
