stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.36,255.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.83,223.32,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,33.04,7.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,12,0,12.88,0,0,22.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.27,11.3,0,0,32.82,0,0,0,0,0,0,0,0,0
 10-12,0,13.61,0,9.59,0,5.97,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,103.31,0,0,0,27.59,0,0,7.87,0,0,0,0,0,0
 14-21,0,0,0,3.14,12.11,5.78,3,0,0,5.99,0,0,0.89,0.9,0,0,2.17,0,14.88,0,6,135.05,0,1.77,0,2.61,2.05,23.73,2.01,3.45,11.69,41.86,1.69,0,0
 24-34,0,0,0,0,2.17,0.89,30.97,0,0,2.56,1.4,0,0.69,0.62,0,0,0.9,0,17.69,0,4.91,149,0,0,3.89,0,5.8,0,0.63,0,1.36,43.07,2.77,0,0.62
 36-46,0,0,0,0,1.31,0,18.69,0,0,1.51,0,0,0,0,0,0.77,0,0,15.88,0,3.28,107.34,0,0,0.9,0,0,0,0,0,0,30.81,0,0,0
 48-58,0,0,0,0,2.21,0,21.32,0,0.97,9.34,0.91,0,0,0,0,0,0,0,14.07,1.25,0.53,39.06,0,0,1.01,0,3.47,0,0,0,0,23.09,1.67,0,1.04
 60-70,0,0,0,0,7.22,0,30.28,0,0,6.41,0,0,0,0,0,0.63,0.87,0,12.55,2.88,2.59,25.48,0,0,15.75,0,0,0,0.59,0,0,7.57,0.6,0,0
 72-82,0,0,0,0,4.41,0,6.77,0,0,11.99,0,0,0,0.5,0,0,0,0,9.9,0,0.73,17.94,0,0.54,0,0,1.05,0,0,0,0,1.38,2.94,2.81,0
 84-94,0,0,0,0,0,0,2.5,0,0,9.32,0,0,0,0.56,0.58,0,0,0,12.49,0,1.38,8.78,0,3.34,0,0,1.89,0,0,0,0,1.03,1.87,0,0
 96-106,0,0,1.14,0,0.83,0,22.69,0,0,5.74,0.6,0,0,0,1.02,0.64,0,0,7.92,1.84,7.75,1.54,0,1.82,0.63,0,2.74,0,0,0,0,4.04,2.19,0,5.14
108-118,0,0,0,0,1.07,5.15,7.39,0,2.05,4.92,2.81,0,0.69,0.85,0,0,1.35,0.58,10.73,0.62,0,12.92,0,0,3.5,0,1.5,0,0,0,0,0,4.17,0.74,0
120,0,0,0,0,0,0,2.05,1.76,0,12.05,0,0,0,0,0,0,1.4,0,2.28,0,0,21.86,0,0,0,0,1.1,0,0,0,0,0,8.24,0,0
