stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.42,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.09,7,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,36.78,0,0,8.79,0,0,0,0,0,12.73,0,0,0,0,0,0
 14-21,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,2.8,0,0,0,0,0,0,3.1,2.94,2.05,2.8,0,0,0,0,0
 24-34,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,4.46,0,0,0,24.38,0,4.95,2.95,0,0,0,0,0,3.77,0.97,2.65,0,0,1.11,0,0
 36-46,0,0,3.22,0,0,1.31,0,0,0,0,0,0,0,0,0,3.76,0,5.84,0,0,0,86.2,33.74,0,1.66,0,0,0,0,0,0,0,15.27,0,0,0,0,0
 48-58,0,0,1.67,0.93,0,11.61,0,0,0.79,0.44,0,0,0,0,0,49.45,0,9.76,0,0.39,0,20.76,31.38,0,5.2,0,0,0,0,0,0,0,11.03,0,0,0,0,0
 60-70,0,0,0.91,0,4.71,25.44,0,0,1.47,1.04,0,0,0,0,0,151.53,0,5.32,0,0,0,27.88,1.42,1.17,163.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,12.38,4.44,9.1,89.02,1.43,0,0.81,10.34,2.73,0,0.63,3.98,3.82,402.59,0,39.07,0,0,0,62.9,0,3.76,108.88,0,0,1.74,0,0,3.97,0,1.35,4.21,0,4.78,0,7.13
 84-94,0,0,28.82,5.21,0,69.94,0,0,0.91,4.07,0.84,0,0,0,1.31,751.5,0.83,16.83,0,0,0,80.68,3.48,2.62,170.98,0,0,1.35,0,0,0,0,0,1.17,0,0,0,0
 96-106,0,0,18.42,0,11.22,83.86,0,1.4,1.54,15.56,1.72,0.62,8,0.61,0.71,2162.32,1.4,37.69,1.24,0,3.22,45.75,2.06,2.1,375.51,0,4.36,30.41,0.76,0,0,0,0,0,1.82,2.68,2.66,11.27
108-118,1.35,0,33,3.87,1.17,80.77,0,0.48,0,19.84,9.63,0,0,0,8.51,1487.72,0,52.02,1.14,2.23,2.07,142.54,3.33,1.17,267.92,0,0,11.41,0,0,0,0,0,0,2.37,0.76,0.63,0
120,0,0,47.2,3.77,0,33.96,0,0,0,15.12,6.67,0,4.94,0,0,1521.69,0,31.19,0,0,7.36,132.55,4.99,11.19,719.89,0,0,3.17,0,0,0,0,0,0,6.5,0,3.81,0
