stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.65,907.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.06,440.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.08,0,0,0,45.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.7,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,140.37,3.62,0,0,9.83,0,3.07,16.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.03,176.25,71.75,0,11.85,0,0,0,2.32,11.49,0,0,0,2.38,0,0,0,13.53,55.41,0,0,52.05,253.69,38.71,0,0.89,8.15,0,40.61,0,21.19,85.52,12.8,88.04,88.58,0,0,13.23,0,4.54
 24-34,0,0,0,111.42,11.04,0,24.6,0,8.42,3.03,4.8,0.74,0,9.78,1.36,1.44,0,6.36,0,0.86,125.83,0.74,1.52,70.99,337.53,18.82,3.33,2.59,0,0,74.37,0,0.95,15.21,6.85,19.65,80.51,0,0,82.62,0,0
 36-46,0,0,0,155.55,2.53,0,19.12,0.61,16.23,8.24,50.79,0,0,5.78,2.12,0.77,0,1.4,0,0,159.79,0.79,5.77,54.11,251.2,17.16,0,1.42,0,0,88.65,0,0,5.64,0,0.74,64.23,0,0,71.35,0,0
 48-58,0,0,0,77.16,12.21,0,33.16,4.78,19.15,12.85,57.56,0.56,5.58,7.53,3.71,3.66,0,0,0,0,182.58,2.57,3.77,33.11,151.22,11.69,0.74,4.35,0,0,59.68,0,0,1.92,2.9,0,54.41,0,0,40.41,0,3.19
 60-70,0,0,0,82.49,11.16,0,33.79,0.61,32.19,21.24,83.78,0.81,0,4.52,23.95,0,4.03,2.73,0.68,0,315.69,0.73,13.55,21.14,81.68,13.68,0,5.71,0.81,6.88,39.88,0,0,0.97,3.04,0,19.62,2.51,8.84,28.9,6.12,14.78
 72-82,0,0,0.75,57.81,99.06,0.9,40.48,0.88,17.59,21.35,99.18,5.58,0,5.34,19.22,1.34,0.9,4.6,4.27,0,330.99,1.14,20.71,15.61,68.66,1.54,0.74,7.66,0,10.7,35.6,0,0,0,0,0,10.44,0.68,12.77,78.97,20.8,3.04
 84-94,0,0,0,109.96,158.82,1.29,48.11,1.33,24.96,19.78,70.27,5.89,0,11.03,26.22,5.2,2.72,5.74,0,7.63,286.58,2.1,12.38,23.62,71.04,7.21,0,2.11,0,17.57,78.2,1.4,0,4,0.59,0,9.19,4.7,14.76,76.73,17.82,5.85
 96-106,0,0,0,83.76,140.66,5.03,82.78,2.58,15.36,14.08,129.95,12.27,0,13.76,27.52,4.3,2.24,8.26,0.67,0.68,328.49,0.57,19.07,31.99,147.08,4.75,3.65,2.09,0,19.93,84.67,0,0,1.47,0.7,0,6.39,4.17,21.24,61.61,35.53,11.75
108-118,0,0,1.05,119.46,67.16,23.25,53.41,2.43,18.36,16.18,111.87,50.85,0,9.31,44.06,12.39,7.13,3.46,10.65,7.67,350.46,0.75,20.31,19.86,133.66,5.84,6.69,6.35,0,26,112.16,0,0,5.03,1.78,0,2.46,14.91,21.05,80.19,18.67,20.66
120,0,0,0,103.96,112.43,6.63,31.05,2.03,25.84,22.09,105.37,79.64,0,12.23,32.35,2.5,1.05,3.95,3.79,0,322.67,1.65,33.05,27.22,113.97,9.64,1.15,9.54,0,68.54,88.46,0,0,3.93,0,0,0,16.35,10.46,92.77,41.91,3.6
