stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vasculature
  3-4,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0
 14-21,0,2.71,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,1.3,0,0,0,0,0
 48-58,0,3.58,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.47,0,0.71,0,0,0
 60-70,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0
 72-82,0,5.19,0,0,6.02,0,0,0,0,0,0,0,1.62,0,0,9.01,1.23,0,97.34,0,0,0
 84-94,0,3.82,3.26,0,0,13.11,0,0,0,0,0.69,0.86,3.58,2,0,5.44,10.7,0,293.48,0,0,0
 96-106,0,26.34,6.23,0,2.68,5.05,3.65,0.99,2.91,1.23,6.32,0,1.9,25.48,0,27.52,9.95,0,771.79,0,0,0
108-118,0,54.92,2.45,8.53,19.91,30.88,0,4.46,1.01,0,24.56,0,3.79,9.79,0.57,15.98,11.47,1.59,1678.06,2.95,2.62,0.93
120,0,58.36,0,0,10.38,22.73,0,0,0,0,17.4,0,1.76,0,3.86,18.63,11.73,0,685,0,0,0
