stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65,4.27,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.33,0,0,0,18.22,0,0,0,24.39,0,0,3.28,0,0,0
 14-21,0,0,0,2.87,7.9,12.09,0,4.54,0,0,0,70.24,0,0,0.81,0,0,0,0,0,19.19,0,0,6.31,96.86,1.64,3.72,7.34,6.33,0,0,14.63,35.03,2.93,11.06,253.06,0,0,0
 24-34,0,0,2.14,1.03,6.17,0,0,12.25,0,0.66,1.45,97.29,0,0,0,0,5.13,0,0,0,19.54,0,0,18.6,295.34,3.18,38.83,14.73,0,0,5.07,0,24.26,0.66,7.54,235.24,0,5.3,0
 36-46,0,0,0,0.56,11.01,2.52,0,34.4,6.34,0,0.61,79.95,0,0,0,8.3,8.57,3.33,0,0,24.76,0,0,10.72,365.37,14.91,49.54,3.76,0,0,65.38,0,6.09,13.27,0,154.25,0,17.39,0
 48-58,0,0,0,0,22.34,0,0,64.46,0.86,11.62,2.02,69.2,0,0,0.53,0.85,0,0,2.38,3.98,17.28,2.63,13.51,2.47,282.71,0.45,40.79,6.73,0,0.4,26.47,0,3.12,1.3,0,134.05,0,1.27,0
 60-70,0,0,0,0,4.31,0,0,108,0,0,3.6,107.77,0,0,0,0,0,0,2.05,1.83,55.12,0,2.87,14.76,261.88,0,43.23,27.99,0,0,12.63,0,7.32,0,0,79.31,0,0,0
 72-82,0,0,4.27,0,9.19,13.68,0,71.48,0,0,0.5,131.21,2.45,0.59,0.58,0,0,0,6.26,0,31.88,0,2.59,2.15,185.71,0,58.37,17.96,0,0,9.77,0,1.06,0,0,30.35,0,0.72,3.41
 84-94,0,0,1.42,0,2.66,4.57,0,39.85,0,0,0.91,107.2,3.66,0,0.97,0.56,0,0,13.95,0,36.77,0,0,5.98,95.36,0,35.64,36.37,0,0,0,0,2.93,0,0,48.97,0,1.12,0
 96-106,1.12,0,10.45,0,0.87,0,0,34.87,1.05,0,0,136.51,1.43,0,1.65,1.28,0,0,26.55,0,38.43,0,7.85,1.09,118.67,0,110.63,46.39,0,0,0,0,0.73,0,0,47.99,2.16,0.83,4.93
108-118,0,0,0.93,0,9.01,0,0,71.33,0.42,0,1.26,147.06,1.38,0,0,3.11,1.4,0,15.25,0,28.44,5.12,0,1.84,116.17,0,49.01,25.82,0,4.26,6.57,0,0,0,0,44.41,1.36,4.23,6.82
120,0,0,0,0,9.73,0,1.89,19.76,0,0,12.74,127.06,11.14,0,0,12.65,0,0,17.37,3.16,46.89,0,0,14.58,176.51,0,71.89,66.34,0,11.3,0,0,13.14,0,0,23.12,0,3.35,4.27
