stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,periderm,spinal.cord
 10-12,5.78,0,0,0,0,0,0,0,0
 14-21,0,1.1,0,0,3.29,0,0,1.35,1.15
 24-34,0,0.72,0.71,0,0,1.94,0.73,0,0
 72-82,0,0,1.05,0.71,0,0,0,0,0
