stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,38.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,6.68,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,8.43,0,0,13.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,50.95,0,18.47,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.56,0,0,0,22.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,13.98,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,0,0,6.68,15.58,0,0,0,0,0,1.32,0,2.85,1.79,0,0,0,0,0
 24-34,0.88,0,0,0,4.99,0,0,8.16,0,0,1.42,0,0,0,0,0,1.6,0,0,33.89,0,0,7.77,57.18,0,98.25,2.03,0,0,11.1,0.63,0,7.45,0,0,0.7,0,0
 36-46,0,0,0,0,0.68,0,0,3.68,0,0.63,0,0,0,0.87,0.62,0,0,0,0,26.75,1.78,0.77,7.88,133.85,2.14,67.88,1.62,0,2.1,13.06,0,0,3.62,0,0,0,0,0.57
 48-58,0.58,0,0,0,1.34,0,0,4.72,1.07,0.45,4.6,0,0.54,0.78,0,0,0,0,0,21.93,0,0.83,1.44,124.15,0,27.38,0.5,0,0,12.5,0,0,0,0,0,0.61,0,0
 60-70,0,0,0,0,1.74,0,0,33.42,3.05,1.03,1.66,2.18,0,0,0,2.23,0.72,0,0,37.16,0,10.69,2.85,76.46,0,11.43,0.94,0,0,4.41,0,0,15.84,0,0,0,1.46,0
 72-82,0,0,0,0,3.92,0,0,18.9,0,0,3.25,1.4,0,0,0,38.25,0,0,0,41.06,0,2.94,1.8,137.2,0,29.7,4.48,0,3.49,5.94,0,0,1.63,0,1.92,0,0.77,0
 84-94,0,0,0.85,0,0.62,0,0,9.66,2.15,1.19,1.8,0,0,0,0,45.91,0,0,0,36.85,0,0,0,81.22,0,15.74,2.15,0,0,14.22,0,0,0,0.66,1.5,9.38,1.74,0
 96-106,0,0,1.37,0,11.26,2.24,0.59,21.78,0,3.06,1.45,3.05,0,0,0.58,51.77,0.68,0,1.06,49.87,2.75,2.73,1.18,109.11,0,47.08,0.98,0,0,26.31,0,0,3.82,0,0,2.81,0,7.75
108-118,0,0,0,0,7.54,0,2.14,23.09,1.06,0,6.31,0.42,0,0,0,59.78,0,5.48,0.51,72.99,0,10.68,1.34,116.4,0,28.97,0,0,0,14.05,0,0,0.94,0,1.46,3.57,0,0
120,0,0,0,0,5.12,0,0,32.25,1.42,0,0,1.53,0,0,2.21,28.85,0,0,0,97.43,0,0,2.96,194.28,0,54.52,0,0,18.35,9.98,0,0,4.78,0,0,0,0,0
