stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,gut,neural,paraxial.mesoderm,periderm
  3-4,142.63,0,0,0,0,0,0,0,0
  5-6,39.2,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,18.98,4.24,0
 24-34,0,0,3.19,0,0,0,38.01,0,0.88
 36-46,0,0,0,0,0,0,145.89,0,0
 48-58,0,0,0,0,0,0,32.56,0,0
 60-70,0,3.94,0,0,0,1.23,23.3,0,0
 72-82,0,68.42,3.11,0,0,6.09,18.91,0,0
 84-94,0,42.04,0,0.72,2.04,1.84,0,0,0
 96-106,0,5.12,0,0,2.84,16.38,23.39,0,0
108-118,0,0.91,0.82,0,0,2.22,18.36,0,0
120,0,0,0,0,0,13.51,14.19,0,0
