stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1.89,0,0,0,0,0,0,0,0,0,0,1.64,0,1.04,0,1.95,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.9,0.66,0,0,0,0,0,0,0,0,0.89,0,10.53,0,0,0,0,4.15,9.15,1.87,1.06,0,0,0
 36-46,0,0,1.55,48,0,0.6,0,0,0,0,0,0,3.51,0,1.58,2.18,0,0,0,0,27.64,1.2,1.53,0,0.93,0
 48-58,0,3.25,6.96,37.03,0,1.48,0.88,1.63,0,0,0,0,4.49,0,1.6,24.3,0,0,0,0,8.64,0,9.98,0,0,0
 60-70,0,0,6.95,26.32,0,0.9,0,0,1.17,0,0,0.71,3.19,0,2,22.1,0,0,0,0,22.33,0,7.1,0,5.04,0
 72-82,0,0,12.02,13.29,0,4.44,3.91,0,0,0,0,1.69,5.76,0,1.38,16.69,0,0,0,2.76,9.27,0,2.4,0,0,0
 84-94,0,1.3,25.37,15.86,0,1.88,4.41,0.8,0,0,0,0,0.65,0,6.15,24.55,0,0,0,0,3.86,0,1.33,1.23,1,2.36
 96-106,0,0,39.12,20.15,0,0,3.83,0,0,0,0.59,0,9.71,0.88,5.82,32.64,0,0,0,1.59,10.05,0,0,1.25,0,0
108-118,3.58,0,0,17.29,0.61,3.92,8.6,0,0.51,0.92,0,0,10.89,0,3.83,23.8,0.86,0,0,0.52,5.34,0,0,0,0,0
120,0,0,13.95,33.92,0,0,3.07,0,0,0,0,0,4.1,0,12.61,1.26,0,1.34,4.22,0,1.69,0,0,0,0,0
