stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.19,504.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,579.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,8.7,0,0,0,0,22.56,0,0,0,0,0,0,0,0,0,0
  7-9,16.6,27.29,0,31.78,0,0,78.62,0,0,0,0,0,14.83,0,0,0,0,0,0,0,0,0,341.19,0,0,0,96.02,0,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.36,0,10.76,95.42,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,558.64,8.03,0,0,216.78,0,0,0,0,30.3,0,42.54,0,0,0,0,0
 14-21,0,0,1.07,0,6.82,11.77,0,0,0,0,80.7,0,0,0,0,0,0,0.93,0,7.04,0,0,49.81,3.05,7.23,30.93,5.81,0,0,0,1.96,95.56,5.77,211.51,0,0,0,0,0
 24-34,0,0,0,0.59,2.13,0,3.83,0,0,0,102.36,0,0,0,0,0,1.84,1.38,0,3.35,0,3.65,198.86,2.55,88.54,33.43,0,0,0,0,0,56,1.28,136.67,0,0,0,0,0
 36-46,0,0,0,0,1.41,0,10.49,0,0,0,46.87,0,0,0,0,0,10.03,0,0,2.39,0,1.3,823.17,0.64,78.17,38.41,0,0,0,0,0,21.88,0,93.49,0,0,1.59,0,0
 48-58,0,0,0,0,5.38,0,49.5,0,0,0.87,55.29,0.64,0,0,0.69,0,6.36,4.78,0,11.5,0.45,1.92,1224.67,0,73.73,47.83,0,0,0,0,0,17.33,0,91.49,0,0,0.52,0,6.34
 60-70,0,0,0,0,6.71,0,121.2,0,2.08,2.16,62.4,1.86,4,2.11,0,1.15,18.73,1.41,1.61,32.13,0,7.25,3031.74,1.03,75.59,90.58,0,1.65,5.65,0,0,7.31,0,89.38,0,0,0,0,3.6
 72-82,0,0,1.43,0,52.03,1.87,536.7,0,6.38,17.88,81.63,2.64,0,0,0.52,2.96,56.17,0,8.68,89.71,0.51,4.42,5369.43,2.04,104.31,161.75,0,0.72,10.59,0,0,3.86,0,92.5,1.33,0.53,3.61,1.45,69.4
 84-94,0,0,1.15,1.01,12.59,1.28,262.83,2.34,0,8.01,94.21,1.31,0,2.41,0,0,51.73,0,0,59.52,1.87,1.03,4541.03,0,91.39,192.61,0,0,5.46,0,0,16.34,0,61.63,0,2.79,2.14,0,0
 96-106,0,0,1.9,0.58,30.25,49.01,663.9,0,1.1,0,147.5,1.51,0,0,2.33,0,144.67,0.79,0,48.34,3.4,6.23,4140.49,1.64,142.14,266.82,0,0.81,21.17,0,0,8.79,0,74.48,21.48,0,4.07,0.93,27.3
108-118,0,0,1.26,0.68,61.28,11.45,480.69,0,0.91,4.38,124.16,8.19,0,0,1.19,2.2,60.09,6.53,0,70.08,2.87,5.3,7349.21,0,97.47,186.33,0,3.39,12.49,0,0,9.81,0,25.55,0,0,0.5,1.65,0
120,0,0,0,0,8.52,1.28,772,0,0,2.17,105.33,13.84,0,0,5.89,3.12,75.19,5.29,1.45,72.96,4.29,5.24,12476.32,1.24,132.9,227.54,0,0,17.49,0,0,17.54,0,119.74,0,1.52,10.37,8.42,0
