stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,120.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,0,0,0,0,0,0
  5-6,68.18,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.14,0,0,4.58,0,0,0,0,0,0,0,0,47.63,0,0,11.25,0,0,0,0,0,0,0
 10-12,0,18.93,0,0,6.25,0,3.83,0,0,0,0,0,0,68.21,0,0,10.58,0,0,6.11,0,0,0,0
 14-21,1.36,1,0,1.01,0,2.56,0,0,0,0,5.51,0,3.42,51.26,0,0,1.74,0.97,2.85,0.9,1.23,6.19,34.61,0
 24-34,0,1.36,0.6,0,1.44,4.45,0,0,0,0.67,3.21,0,4,107.12,2.04,0,0,2.68,0,0,0,1.14,31.85,0
 36-46,0,0,0,0,6.06,2.7,0,0,0,0,1.41,0,1.6,43.04,0,0,0,3.08,0,0,0,0,24.1,2.8
 48-58,0,0,1.9,0,12.13,4.08,0,0,0,0,4.22,0,2.23,49.07,0,0,0,5.52,0,0,0,0,4.3,0
 60-70,0,0,0,0,4.8,7.8,0,0,0,0,1.09,5.29,0,21.11,0,0,0,1.98,0,0,0,0,0,0
 72-82,0,0,0,0,7.89,0,0,0,0,0,3.93,0,0,3.8,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.57,0,1.22,1.47,0,0,0,0,0,0,0,12.07,0,1.29,0,2.16,0,0,0,0,0,1.04
 96-106,0,0,0,0,0,4.02,0,0,0,0,0,0,0,5.66,0,0,0,4.12,0,0,0.84,0,0,0
108-118,0,0,0.64,0,0,0,0,0,0.78,0,0,0,3.77,2.04,0,0,0,3.01,0,0,0,0,0,0
120,0,0,1.07,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,6.62,0,3.24,0,0,0,0
