stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,4.33,0,0
 24-34,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,2.72,0,0,0,0,0,0,2.09,0,0,0,0,0
 36-46,0,0,0,0,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,2.98,0,0,0,0,0
 48-58,0,0,0,0,13.88,0,0,0,0.79,0,0,0,0,0,0,0,0,0.45,0,0,0,14.31,0,0,0,0,0,0,2.7,0,0,0,0,0
 60-70,0,0,0,0,668.6,0,0,0,2.07,0,0,0,0,0,0,0,0,0.57,0,0,0,2.27,0,0,0,0,0,0,14.51,0,0,0,0,0
 72-82,0,0,16.97,6.21,3805.75,0,0,0,8.1,1.82,2.73,0.63,0,0,0,1.95,7.84,38.43,0,7.54,2.1,105.82,0,0.67,0,0,1.58,0,25.49,2.31,0,1.18,0,0.67
 84-94,0,0,17.15,4.05,4644.3,10.82,0,1.21,13.61,0.98,0,0.61,0.59,0.62,2.31,0,6.93,18.78,3.69,2.04,1,64.53,1.46,0,0,1.65,3.04,0,20.67,0,0,0,2.93,0
 96-106,0,0,18.23,10.37,4987.51,4.65,1.77,2.72,26.24,0,0.73,4.81,0.59,1.33,0.77,4.84,0,30.28,0,1.38,6.22,105.36,0.97,0.73,0,0,12.2,1.79,26.22,1.66,1.01,8.38,0.69,10.23
108-118,0,0.77,8.06,11.08,4319.54,0,1.04,5.66,25.43,0.88,0,0.75,0.51,0,0,0,0,35,0,1.05,2.63,127.86,0.62,0,0,0.87,2.09,0,11.89,0,0.99,2.44,0,5.95
120,0,0,2.65,11.14,4060.94,0,1.78,0,35.5,0,1.61,0,2.43,0,0,0,0,22.46,0,0,0,81.25,0,0,0,0,4.74,0,0,0,0,0,0,0
