stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pronephros,spinal.cord,taste
  3-4,17.61,59.76,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,13.76,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.81,0,0,0,13.74,0,0,109.36,0,15.56,0,0,0
 10-12,0,0,5.75,0,6.14,0,0,0,111.95,0,20.2,14.37,0,0
 14-21,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.7,0,0,2.56,0.87,2.75,0,0,0,1.17,0
 36-46,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0
 48-58,0,0,0,2.75,0,0,0.42,0,11.27,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.43,0.81,0,0,0,0
 72-82,0,0,0,0,0,0,0.53,0,7.43,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.96,0,11.03,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0
120,0,0,0,0,0,0,0,0,20.02,0,0,0,0,2.83
