stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vasculature
  5-6,55.14,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.36,0,0,0,0,0,10.85,0,0,0
 10-12,0,0,0,0,0,0,0,16.91,0,0,0,0,0
 14-21,0,1.06,0,0,0,0,0,9.31,0,0,1.14,0,0.89
 24-34,0,0,0,0.71,0.73,1.13,0,16.43,0,0,0,3.87,1.55
 36-46,0,2.21,0,2.42,3.21,0.62,0,8.18,0,0,0,0,0
 48-58,0,0,0,2.23,1.11,0,0,10.2,0,0,0,3.65,0
 60-70,0,0,0,13.19,3.2,0,0.78,9.13,0,0,0,0,0
 72-82,0,1.03,0,1.53,1.99,0.86,0,6.68,0.93,0,0,0,0
 84-94,0,0,0,4.33,0.78,0,0,6.94,0,0,0,0,0
 96-106,0,0,0,3.38,2.39,0,0.58,2.52,0,0,0,0,0
108-118,0,0,0.56,1.41,1.03,0.78,0,2.85,0,0,0,0,0
120,0,3.07,0,0,0,0,0,0,0,0,0,0,0
