stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.87,319.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,282.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.77,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.95,0,0,0,23.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,12.48,0,5.29,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,25.33,4.99,0,0,44.3,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.98,1.06,0,2.5,0,0,0,3.54,0,0,1.27,0,0,0,0,0,18.77,0,0,8.78,582.63,0,6.1,0,0,0,0,22.66,1.54,0,34.05,545.77,0,0,0,0,0
 24-34,0,0,0,0,2.3,0,0,15.01,0,0.61,0,2.19,0,4.75,0,0,0,0,0,3.08,31.19,0,0,12.22,2046.66,10.85,0.91,0,0,0,0.84,0,0,4.17,2.4,1336.14,0,0,0,0,0.63
 36-46,0,0,0,0,0,0,0,83.4,0,0.56,0.74,16.91,0,0.79,0,0,0,0,0,0,20.26,0,0,8.58,1726.49,0,1.95,1,0,0,0,0,0,1.37,0,1856.48,0,0,2.34,0,0
 48-58,0,0,0,0,3.98,0,0,949.55,1.32,0.54,1.84,20.59,0,0,0,0,0.85,0,0,0,15.99,0,8.76,12.57,1232.14,0,1.08,0.4,0,0,6.28,0,0,0,0,1363.74,0,0.4,0,0,2.3
 60-70,0,0,0,0,8.74,0,0,3780.47,0,0,0,25.54,0,0,0,2.65,0,0,0,0,18.27,0,2.17,8.32,764.45,0,0,0,0,0,1.75,0,2.7,0,0,447.97,0,0,0,2.04,0
 72-82,0,0,0.5,0,10.72,2.8,0,5419.01,1.13,0,0,49.48,0,0.66,0.99,0,1.28,0,5.32,3.59,55.19,0,0.51,5.08,1205.68,0.57,0,1.48,0,0,1.54,0,0,0,0,183.58,0,2,0.5,3.36,4.79
 84-94,0,0,0,0,9.54,2.73,0,3034.54,12.94,1.52,3.02,80.35,0,0.85,0.95,0.61,0.62,0,4.64,0,38.11,0,0.63,5.05,869.64,0,0,6.03,0,0,3.02,0,0,0.8,0,118.47,0,2.4,3.55,1.66,1.21
 96-106,0,0,0.91,0,22.4,10.17,0,3219.28,0,1.5,7.51,82.65,0,0,3.82,0,7.67,0,7.13,6.84,49.83,0,4.02,3.13,797.55,0,0.89,11.74,0,0,2.94,0,0,0.62,0,76.15,0.83,0,2.1,0,2.07
108-118,0,0,0,0,2.98,0,11.55,2384.98,1.13,0.45,1.17,32.45,0,0,0.52,0.86,1.36,0.65,0.46,0,24.03,1.14,11.39,2.77,990.33,0,0.77,9.36,0,3.32,0.95,0,0,1.54,0,54.83,2.11,0,6.07,2.84,0.42
120,0,0,0,0,23.47,1.39,0,1665.94,0,1.39,10.14,38.55,0,2.63,7.52,0,0,0,0,0,47.08,0,0,11.13,1251.7,3.99,20.09,17.75,0,0,1.24,0,0,0,0,91.46,0,0,0,0,0
