stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,526.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,292.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,0,0,8.34,0,0,0,18.12,0,0,0,0,0,23.02,0,0,0,0,0,0,0,0,0,0,0,105.27,4.19,0,0,57.88,0,7.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.24,0,0,0,0,0,0,0,0,0,91.14,0,0,0,0,0,0,0,0,0,0,0,137.37,6.66,0,0,16.27,0,0,3.03,0,4.36,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,12.87,4.62,0,14.34,0,0,0,1.29,0,106.33,0,0,0.96,0,0,0,0,2.96,1.17,0,5.33,61.65,0.93,0,0,0,0,5.45,0,5.96,0.82,16.22,8.6,5.01,0,0,0,0
 24-34,0,0,0,0.86,1.38,3.65,0,22.18,0,0,0,0.75,3.22,7.75,0,0.65,2.76,0,0,0,0.65,18.58,0.63,0,14.65,78.19,7.89,2.56,0.79,0,0,0.64,0,0,0.83,0,1.58,6.03,0,0,0,0.69
 36-46,0,0,0,0,0,0,0,19.48,0,0,0.62,3.92,0.67,0.66,1.32,4.8,0,0,0,0,0,38.69,3.23,0,13.35,35.25,3.22,2.15,0,0,0,1.44,0,0,0,0,0,9.95,0,1.67,0,0.56
 48-58,0,0,0,0,1.82,1.34,0,18.46,0,0,1.28,10.05,0,5.29,0,0,7.23,5.5,0,1.9,0,46.74,1.99,0,6.27,33.2,0,0.38,0,0,0,5.89,0,0,0,0,0,4.51,0,1.88,0,0
 60-70,0,0,0,0,0.66,6.09,0,22.13,1.28,0,4.6,3.45,0.57,1.21,0,5.39,0,0,0.77,6.19,0,18.13,1.53,3.88,6.46,58.24,0.57,1.19,0,0,0,0,0,0,7.63,0,0,2.18,0,1.8,0,10.65
 72-82,0,0,0,0,2.65,43.98,7.34,33.75,5.32,0.5,2.44,20.97,0.9,0,0,1.61,0.57,0,0,14.05,0,68.16,1.62,1.12,8.29,63.32,0.55,0.6,1.44,0,0,1.23,0,0,0.66,0,0,5.09,0,1.51,0,0
 84-94,0,0,0,0,1.9,46.1,19.06,26.39,0,0,9.01,5.57,0,0,0,3.99,0,0,1.33,1.66,0,42.95,3.44,0,11.26,35.84,0,0,0,0,0,5.55,0,0,0,0,0,0,0,7.1,0,0
 96-106,0,0,0,0,5.1,108.16,34.58,13.09,0,0,9.28,14.67,0,0,0,6.99,0,0,0,12.76,0,51.71,0,0,5.11,43.64,0.62,0.66,3.03,0,5.19,9.97,0,0,0,0.7,0,6.9,0.59,4.28,0,0
108-118,0,0,1.52,0,5.37,89.93,50.58,38.38,9.49,0,6.63,26.46,4.23,0,2.46,2.35,0,0.96,1.77,9.73,0,77.15,0,0,6.35,74.39,1.74,0.89,0.87,0,6.74,0,0,0,0.62,0.53,0,9.25,0.44,1.3,0,0
120,0,0,0,0,11.25,52.74,28.56,32.91,2.28,0,3.06,90.37,3.12,0,0,7.54,0,0,0,13.54,0,39.08,0,12.41,18.59,97.65,0,1.46,0,0,0,1.19,0,0,0,0,0,0,2.37,6.36,1.8,0
