stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,88.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.27,195.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,36.85,0,0,0,18.73,0,0,0,0,0,0,0,0,234.39,0,0,0,58.26,0,0,0,0,0,0,0
 10-12,0,0,18.9,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,378.82,0,0,0,119.1,7.72,0,37.83,0,0,0,0
 14-21,0,0,0.94,5.47,5.09,7.46,0,0.98,0,0,0,0,0,0,0,2.88,0,1.93,116.2,0.9,0,0,4.92,12.62,2.79,0,4.79,4.99,32.18,0.84
 24-34,0,0,0,0.95,0,11.98,1.06,0.72,0,0,0,0.86,0,0,0,2.29,0,0.61,72.17,0,0,0.64,0,8.23,0,0.69,0,0,10.64,1.49
 36-46,0,0,0,0.59,0,41.48,0,1.1,1.33,0,0,0,0,0,10.04,0.64,0,0,40.97,0,0,1.48,0,13.32,0,0,0,0,19.55,0
 48-58,0,0,0,2.26,0,39.26,0,1.86,4.64,0,0,0,0,0,0,3.04,1.11,1.54,35.87,0,0,0,0,8.27,0,0,0.93,0,6.56,0
 60-70,0,0,0,3.46,0,1.91,0,2.52,0,0,2.38,0,12.03,0,1.41,0,0,0,7,0,0,0,0,5.64,0,0,0,0,0,0
 72-82,0,0,0,4.89,0,6.84,0,1.13,1.18,0,0.58,0,0,0.68,0,0.91,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.45,0,5.22,0,1.66,2.03,0,0,0,0,0,0,3.31,0,0,5.25,0,1.89,0,0,0,0,0,0,0,1.18,0
 96-106,0,0,0,2.51,0,3.35,0,0.59,0.6,0,0,0,0,0,0,2.25,0,0,6.96,2.06,0,0.65,0,5.29,0,0,0,0,0,0
108-118,0,0,0,2.95,0,7.5,0,5.17,0,0,0.62,0,0,0.63,0.48,0.45,0,0,11.18,0,0,2.26,0,2.06,0,0,1.33,0,0,0
120,0,0,0,3.18,0,2.82,0,0,0,0,5.37,0,0,0,3.49,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,1.4
