stage,eye,fin.mesenchyme,glial,mesenchyme,neural,notochord
 24-34,0,0,0,0,0.86,0
 36-46,0,0,0,1.69,0,6.18
 60-70,0,0,0,0,1.62,0
 72-82,0,1.88,0,0.75,0,0
 84-94,1.63,0,0,0,0,0
 96-106,0,0,0.75,0,0,0
108-118,0,1.28,0,0.76,0,0
