stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.45,0,0,0,0,0,0,0,20.34,0,0,0,0,0,0,0,0,42.89,0,0,7.12,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,9.64,0,0,5.66,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,3.06,0,0,0,1.18,2.81,0,0,0
 24-34,0,0,0,3.35,0,0,0,0,0,0,0,0,1.1,0.8,6.91,0,0.96,51.84,1.9,0,0,0.64,0.97,5.63,0,0
 36-46,0,0,0,6.88,0,0,0,1.06,0,0,0,0,0,0.66,0,0,0,110.93,0,0.57,0,0,0,10.87,0,0
 48-58,0,0,0,41.97,0,0,0,8.3,0,0,0,0,0,0.92,4.79,0,0,131.06,0.47,1.77,0,0,8.72,21.06,1.71,0.99
 60-70,0,0,0,101.27,0,0,3.29,7.66,0,0,0,6.75,0,0,3.54,0,0,303.71,0,0,0,0,0,26.4,0,8.55
 72-82,0,0,0.83,75.58,0,0,0,7.06,0,0,1.09,0,1.36,6.49,7.02,0,0,189.81,2.49,0,0,0,0.73,5.87,1.21,0
 84-94,0,0,1.18,66.35,0.76,0,0,1.05,0,0,2.66,5.8,0,1.28,1.59,0,0,162.51,0,0,0,2.92,0,35.15,0,0
 96-106,0,2.57,0,71.02,0,0,0,1.35,0,0,0.58,4.72,4.97,0,2.51,0,0,138.14,0,0,0,0.74,0,8.24,0,0
108-118,0,1.39,0,45.76,0,0,0,9.97,0,0,1.92,1.51,0,6.18,3.5,0.49,0,161.49,2.6,2.31,0,0,0.54,6.93,0,0
120,0,0,0,44.4,0,1.31,0,0,0,1.85,9.16,0,0,0,8.73,0,0,328.34,0,0,0,0,0,18.58,1.66,0
