stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
  5-6,11.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.51,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.04,0.94,0,0,0
 24-34,0,0,0,0,0,0,0.61,0,0,7.66,2.32,2.06,2.14
 36-46,0,0,7.58,0.68,0,0,1.13,1.01,0,20.28,0,2.79,0
 48-58,0,0,10.46,0,0.48,0,2.51,0,0,38.87,0,2.74,2.99
 60-70,0,0,17.42,0.6,0,0,0.9,0,0,12.26,0,3.39,0
 72-82,0,0.84,13.49,0.89,1.42,0,2.05,0,0,12.32,1.2,0,0
 84-94,0,0.63,12.54,4.38,0,0,0,0,0,8.32,1.48,0,0
 96-106,0,0.88,6.62,1.68,0,0,5.44,0,0,7.82,0,12.67,0
108-118,0,2.88,4.46,0,0,0.72,3.18,0,0,5.21,1.6,0,0
120,0,0,5.14,19.53,0,0,0,0,0,34.29,0,0,0
