stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,spinal.cord
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,0,0,0,5.94,0,0,2.19
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,20.11,0,0,4.17
 48-58,0,0,0,1.73,0,0.42,0,0,3.67,0,0,0,24.34,0,0,2.25
 60-70,0,0,0,11.29,0,9.49,0,0,0,0,0,0,41,0,0,2.84
 72-82,0,0,0,11.08,0,0.93,0.71,0,0,0,0,0,45.27,1.95,0,0.67
 84-94,0,0,0,19.18,0,0,0,0,0,0,0,0,19.01,0.83,0.97,0
 96-106,0,0,0,0.57,3.45,0,0,0,0,1.09,0,1.94,38.02,1.51,0.6,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,23.24,0.67,0,0
120,0,0,0,0,0,0,0,0,0,0,11.42,0,15.58,0,0,0
