stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,46.64,200.76,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0,0,0,0
  5-6,0,216.32,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.6,0,0,8.3,0,0,29.08,0,26.8,0,0,0,315.58,16.97,106.59,0,0,0,0,0
 10-12,0,10.57,0,28.65,0,0,0,0,12.85,0,0,0,253.13,7.07,119.3,0,27.28,0,0,0
 14-21,0,0,0,0,1.11,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,1.7,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,1.71,0,0
 48-58,0,0,0,0,0,0,9.03,0.44,0,1.24,0.48,0.56,10.35,0,0,0,0,2.14,0,0
 60-70,0,0,0,0,0,0,1.25,0.9,0,4.11,0,0,13.81,0,0,0,0,0,0.59,0
 72-82,0,0,0.53,0,0,0,5.93,0,0,1.56,0,0,1.65,0,0,0,0,1.08,0,0
 84-94,0,0,0,0,0,0,3.52,0.72,0,1.29,0,0,5.35,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,28.77,0,0,2.68,0,0,26.76,0,0,1.01,0,0,0,1.06
120,0,0,0,0,0,2.6,10.22,0,0,0,0,0,16.41,0,0,0,0,0,0,0
