stage,blastomeres,endoderm,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature
  5-6,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,13.71,0,0,0,0,6.84,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6.99,2.27,0,0,0,0,0,0,5.59,60.93,31.64,0
 24-34,0,0,0,0.76,1.7,0,0,0.68,0,2.33,2.85,25.03,0.73,0,0,0,0,0,3.2,6.71,59.22,0
 36-46,0,0,0,0,8.16,0,0,0,0,0.6,2.69,27.02,0,0,0,0,0,0,1.04,0,7.77,0
 48-58,0,0,0,0.6,4.31,0,0,0,0,0.42,5.77,13.33,0,0,0,0,0,0,0,0,3.65,0.48
 60-70,0,0,0,1.12,2.25,0,0,0,0,0.68,1.68,17.14,0,0,0,0,0,0,0,0,6.77,2.63
 72-82,0,0,0,3.85,0.9,1.21,0,0,0.99,0.69,1.32,12.13,0,0,0,0,0,0,0,0,0.94,6.43
 84-94,0,0,3.25,1.69,0.69,0,0,0,12.27,3.1,1.86,3.35,0,0.59,0,0,0,0,0,0,0,3.46
 96-106,0,0,1.07,9.25,3.5,0,0.57,0,1.47,11.52,6.72,13.71,0,2.01,0,0,0,2.06,0.84,0,0,8.29
108-118,0,0.61,0.59,1.73,1.44,0,0,0,11.97,5.2,13.34,16.57,0,0.43,0,2.98,3.55,0,1.43,0,6.33,2.43
120,0,0,0,1.08,6.91,0,1.45,0,8.23,0,7.29,7,0,2.49,0,0,0,0,0,0,0,1.61
