stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,244.61,4529.43,0,0,0,0,0,0,0,0,0,0,115.8,0,0,0,0,0
  5-6,321.1,4431.09,0,0,0,0,0,0,0,142.09,17.75,41.27,88.6,0,0,0,0,0
  7-9,53.37,86.86,142.09,0,220.18,0,122.17,0,0,2027.27,103.09,728.48,8.24,36.1,0,0,0,0
 10-12,0,92.58,135.23,0,131.58,0,48.21,0,0,1456.69,50.83,556.39,8.14,21.14,8.74,66.68,7.71,5.09
 14-21,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,1.28,0,4.09
 24-34,0,0,0,0,0.65,0,0,0,0,3.05,0,0,0,0,0,0,0,2.42
 36-46,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0.67,0,0
 48-58,0,0,0,3.17,1.74,0,0,0,0,0.88,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,3.01,0,0,0.72,0,0,0,0,0.84
 84-94,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,4.39
 96-106,0,0,0,0,0.85,3.05,0,0,0,0,0,0,0,0,0,0,0,0
