stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,28.52,1164.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.36,0,0,0,0,0,0,0,0,0
  5-6,83.2,1410.87,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,55.05,45.69,0,0,7.5,0,82.78,0,0,0,0,0,0,0,0,0
  7-9,65.35,34.8,0,122.16,0,0,0,83.25,0,0,0,0,131.69,0,0,0,0,0,0,0,0,0,0,1221.79,17.9,0,0,368.69,0,4.34,18.41,0,0,0,0,0,0,0,0
 10-12,0,20.27,0,56.91,0,13.45,0,62.7,0,0,0,0,38.46,0,0,0,0,0,0,0,0,0,0,993.27,33.15,0,0,397.97,0,0,0,0,40.45,0,3.28,0,0,0,0
 14-21,0,0,0,6.4,72.74,23.13,0,72.43,0,0,32.18,2.86,4.57,1.07,1.38,5.19,0,1.12,0,1.26,68.5,0,36.5,1218.01,79.74,2.29,10.65,31.69,0,9,0,76.28,2.97,70.17,340.08,0,0,1.64,0
 24-34,0,0,1.26,0,6.15,5.31,0,154.08,0,5.57,12.4,0,0,1.13,1.07,0,0,0,0,0,55.61,0.89,16.24,1054.66,4.2,3.64,1.66,0,0,12.3,0,0,0,0.81,187.07,0,0,5.8,6.73
 36-46,0,0,0,0,2.3,0.84,0,385.67,15.62,0,11.39,0,0,0.65,0,0,1.82,0,0.94,0,41.28,5.02,14.8,733.01,1.09,6.56,0.72,0,0,4.51,0,0,0,0,146.28,0,0,2.59,4.34
 48-58,0,0,0,0,4.81,5.72,0,373.33,1.13,0,15.76,0,0,0,0,0,4.22,0,0,0,48.29,1.01,11.09,270.32,0,1.14,1.67,0,0,3.91,0,0,0,0,34.77,0,0,5.76,4.14
 60-70,0.81,0,0,0,9.39,0,0,327.36,1.28,0,18.56,0,0,0,0,3.74,0,1.12,0.87,0,35.98,0.88,5.57,152.45,0,0,1.71,0,0.71,0.67,0,0,0,0,10.74,0,0,1.59,0
 72-82,0,0,0,0,5.34,0.59,0,121.87,0,0,11.21,1.38,0,1.5,0,0,0,0,0,0,28.42,0,3.47,91.62,0,0,0,0,0,1.9,0,0,0,0,0.61,0,2.07,3.22,0
 84-94,0,0,0,0,6.33,0.6,0,100.13,0,0,15.19,0,0,0,1.62,0.76,0.7,0.67,0,0,33.33,3.63,5.08,87.8,0,2.99,1.4,0,0,0.65,0,0,0,0,0.84,1.03,0,1.96,0
 96-106,0,0,0,0,4.68,0.59,1.6,82.52,0,0,11.66,2.57,0,0.89,3.07,1.62,0,0.79,0,0,25.73,0.79,5.32,69.49,0.77,0.81,1,0,0,3.04,0,0,1.33,0,1.78,0,0,1.48,0
108-118,0,0,0,0,6.7,1.64,0,92.78,0,1.32,25.9,1.7,0,0,7.21,0,0,0,1.15,0,18.18,0.94,2.45,137.64,1.26,0.66,2.76,0,0,0.54,0,0,0,0,0,2.52,0,3.95,0.48
120,0,0,0,0,9.82,1.43,0,81.3,0,0,5.41,3.6,0,0,0,0,0,0,0,0,4.22,0,0,115.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
