stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.87,7.26,0,0,13.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,27.1,0.91,0,45.33,0,0,0,0,0,0,0,0,15.09,0,0,306.19,7.98,0,0,2.98,171.54,20.61,0,0,0,0,0,3.69,0,1.25,45.51,0,0,0,0,375.61
 24-34,0,0,48.9,0,0,149.15,0.85,0,5.05,2.19,0,0,0,1.54,14.67,7.97,1.38,1151.74,37.41,0,0,9.32,780.53,5.86,11.29,1.95,0,0,8.36,2.71,0,4.85,93.57,0,0,12.09,0,1078.28
 36-46,0,0,16.96,0.59,0,124.75,9.36,0,25.55,0,0,0.95,0,2.37,16.94,0,14.42,1638.57,53.81,0,0,6.22,1246.4,4.23,2.86,0,0,0,14.53,0,2.34,0,113.08,0,0,0.73,0,1065.07
 48-58,0.44,0,13.62,0,0,308.69,2.2,0,56.32,0,0,1.76,5.82,0,50.36,0,0,600.04,65.08,1.91,0,8.41,1777.5,0.55,1.52,0.68,0,0,3,0,2.86,0,127.56,0,0.85,0.41,0,1145.21
 60-70,0,0,18.54,0,0,818.63,0,0,207.78,0,0,0,0,5.07,25.25,0,0,311.83,48.67,0,0.81,3.35,2993.93,0,0,0,0,0,4.07,0,0.73,0,151.42,0,0,10.42,0,973.21
 72-82,0.49,0,18.55,12.56,0,1229.19,2.34,1.07,219.06,0,2.07,3.93,0.49,0,19.41,1.05,6.13,133.86,139.54,0,3.86,5.35,3922.61,0,2.81,16.08,0,1.77,7.53,0,0,0,126.2,2.22,0.85,3.27,7.33,823.73
 84-94,0,0,24.15,3.01,0,1003.56,1.4,1.59,144.78,0.91,0,1.14,3.52,1.98,53.95,0,5.9,251.87,85.2,0,3.02,2.94,2909.17,5.76,0,10.64,0,2.93,26.15,0,0,0,107.46,0,1.23,2.88,0,566
 96-106,0,0,32.95,11.2,1,1373.6,0.57,1.65,151.74,1.95,0,0.82,3.95,0,47.81,1.48,27.82,108.23,92.63,2.65,1.84,7.13,2469.04,5.74,0.66,4.01,0,1.61,6.67,0,0,0,69.3,3.39,0,0.67,1.82,474.94
108-118,0,1.48,33.19,9.32,0,1766.05,1.82,4.99,182.44,1.39,0,0.49,2.59,0.75,62.29,0,1.1,157.79,105.97,0.58,0,3.9,3813.95,0,1.72,3.88,0,1.31,46,0,0,0,41.88,1.41,3.43,2.4,1.88,548.83
120,0,0,95.68,1.39,0,940.95,10.7,20.03,169.99,1.26,0,0,4.75,0,29.78,5.57,0,35.84,108.27,0,8.5,1.57,4402.58,0,3.73,3.71,0,0,8.87,0,3.15,0,75.75,3.65,4.87,9.87,4.27,125.05
