stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,3.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0
 14-21,0,0.91,0,0,0,0,0,0,14.53,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.9,0,0.6,0,0,46.34,0,0,0,3.44,0,0,0,3.65,0.66,0
 36-46,0,2.1,0,1.83,0,0.96,0,8.29,89.99,0,0,0,14.45,0,0,0,0,1.67,1.76
 48-58,0,7.33,0,7.78,0,0,0,0,31.99,0,0.54,0,6.4,0,0.8,0,0,4.73,0.51
 60-70,0,8.96,0,22.94,2.33,0,0,0,88.95,0,1.55,0.96,1.15,3.57,0,0,5.97,0,0
 72-82,0,6.64,0,8.03,3.56,0,0.63,0,14.15,0,0,0,17.81,0,0,0,0,2.8,0
 84-94,0,11.67,0,7.35,0.91,0,3.57,0,64.01,0,0,0,3.41,0,0,0,1.98,0,0
 96-106,0,10.15,0,7.03,0,0,2.89,0,54.43,2.38,3.69,0,9.92,0,0,0,4.88,0,0
108-118,0,7.06,1.98,0,1.72,0,8.7,0,53.27,0,3.4,0,5.75,0,0,0,2.87,0,0
120,0,1.23,0,0,0,6.49,1.02,0,69.21,0,0,0,11.03,0,0,0,2.43,0,0
