stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,18.39,212.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0
  5-6,18.55,339.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,28.29,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,31.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.8,15.96,0,0,47.86,0,3.31,0,0,0,0,0,0,0
 10-12,0,5.43,0,18.85,0,6.13,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.57,3.17,0,0,17.59,0,0,0,5.78,0,0,0,0,0
 14-21,0,0,0,0,7.42,2.83,4.88,0,0,0,0,1.9,1.79,0,0,0,0,0,0,3.35,0,1.2,54.51,0,0,1.65,1.33,0,2.3,4.72,0,2.89,16.84,0,0,0
 24-34,0,0,0,0,9.27,0,7.05,0,0,0,0.93,0,0,1.97,0,0,0,0,0,6.38,0,1.83,114.82,0.87,3.21,1.4,0,0,2.24,0,0,0,25.37,0,0,9.29
 36-46,0,0,0,0,1.26,0,12.12,0,0,0,7.72,0,0,0,0,0,1.49,0,0,3.84,0,1.15,85.43,0,0,0,0,0,0,0,0,0,13.28,0,0,3.93
 48-58,0,0,0,0,0,0,27.32,0,0,0.76,6.15,0,0,1.08,6.12,0.38,0,0,0,11.12,0,0.59,98.3,10.22,0,1.09,0,0,0,0,0,0,18.31,0,0,3.74
 60-70,0,0,0,0,0,0,15.09,0,0,5.19,36.2,0,0,2.34,0,0,0,0,0,5.54,0,1.49,125.6,0,5.93,2.81,0,1.65,0,0,0,0,29.5,0,0,4.59
 72-82,0,0,0,0,0.51,1.84,14.94,0,0,0,53.29,0,0,0.58,0.59,0,0,0.51,0,12.19,0,0.54,203.72,0,0,0,0,0,0,0,0,0,22.38,0,0.67,14.2
 84-94,0,0,0,0,3.36,0,6.2,0,0,5.16,34.04,0,0,0,0.7,0.93,0,0.69,0,12.52,0,0.6,136.84,0,0,2.7,0,0,0,0,0,0,12.33,0.78,0,2.41
 96-106,0,0,0,0,3.36,14.75,10.3,0.87,0.63,1.05,24.81,0.85,0,1.39,0,0,2.47,0,1.54,15.62,1.62,0.67,124.75,0,0,0.83,0,0,1.07,0,0,0,1.3,0.88,2.23,21.62
108-118,0,0,0,0,1.83,0,7.77,0,0,0,59.67,1.24,0,1.33,0.61,0.46,0,0,0,1.76,0,0.67,109.55,0,0,0.9,0,0,0.66,0,0,0,2.34,0.58,0,4.97
120,0,0,1.22,0,8.44,0,20.71,0,2.41,0,74.54,0,0,0,2.69,0,0,0,0,1.35,0,0,125.94,0,0,0,0,0,0,0,0,0,5.71,0,0,1.91
