stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,284.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.46,469.66,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,7.22,0,0,0,3.56,0,0,0,0,0,163.74,9.45,0,9.97,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,20.92,0,0,0,0,0,0,0
 14-21,0,0,0,9.99,0,0,0,0,0.88,0,7.54,0.86,0,0,0.98,1.83,0.84,0,0,0,2.28,0,0,0.92,0,0
 24-34,0,0,0,2.1,1.09,1.43,1.45,0,0,0,0,10.4,0,1.52,0.85,26.62,0,0,0,2.03,0,0.99,0.77,6.86,0.76,0
 36-46,0,0,0,7.02,0,0,0,0.67,0,0,0,9.79,0,0,1.77,44.04,0.67,0,0,0,0,0,0,6.66,0,0
 48-58,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,13.03,4.07,0,0,2.04,0,0,0,0.38,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,6.22
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0.53,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.03,0.76,0.87,0,0,0,0,0,2.83,0,0.95,0,2.82,0,0,0,0,0,0,0,0,0,0.66
 96-106,0,0,0,0,0,1.14,0,2.33,0,0,0,0,1.61,0,0,0,0,2.27,0,0,0,0,0,1.91,0,0
108-118,0,0,0,0,0,0.45,0,0,0,0,0,0,0,3.27,0,1.72,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0
