stage,endocrine.pancreas,epidermis,erythrocytes,eye,gut,immune,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,4.72,7.67,0
 10-12,0,0,0,0,0,0,0,0,8.91,0,0
 14-21,0,4.08,0,0,0,0,0,0,0.96,0,0
 24-34,0,0,0,0,0,0,0,0,0.8,0,0.79
 48-58,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,1.52,0,0,0
 72-82,0.49,0,0,0.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.93,0,0.96,0,0,0,0
 96-106,0,1.33,0,0,0,1.69,0,0,0,0,1.45
108-118,0,0,2.24,0,0,0.56,0,0,0.91,0,1.19
120,0,0,2.14,0,0,0,0,0,0,0,4.61
