stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,46.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.47,0,0,0,0,11.38,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,20.53,0,0,0,0,0,0,0
 14-21,0,0,2.26,3.92,4.75,0.86,0,0,1.02,2.91,0,0,0,0,0,32.78,0,0,1.7,10.73,0,0,0,0,0,0,1.07,8.12,0,0,0
 24-34,0,0,0,0,0,4.31,0.6,0,1.17,0,0,0,0,0,0,6.65,0,0,0,83.19,0,1.12,0,0,0,0.74,0,37.99,0,0,0.6
 36-46,0,0,0,2.02,0,4.71,0,0,0.64,0,0,0,0,0,0,5.24,0,0,0.88,180.24,0,0,0,0,0,0,0,30.12,0,0,1.68
 48-58,0,0,0,1.97,0,36.86,0,1.2,3.82,0,0,0,0,0,0,4.85,0,0,2.99,387.1,7.32,0,0,0,0,0,0,36.75,0,0,2.64
 60-70,0,0,0,0,0,47.37,1.21,0,1.03,0,0,0,0,0,0,4.07,0.9,0,0,706.48,0,0,0,0,0,0,0,37.73,0,4.95,11.89
 72-82,0,0,0,3.53,1.84,92.22,2.77,2.69,16.23,0,0,0,0,0,0,19.1,0.56,0,0,1043.03,0,0,0,0,0,0,0,78.74,0,9.41,21.09
 84-94,0,2.22,0,2.59,0,97.82,1.29,0,5.25,0,0,0,0,0,0,16.53,0.84,0,0.75,585.56,0,0,0,0,0,1.89,0,51.99,0,0,22.09
 96-106,0,0,0,12.76,13.15,82.91,0,1.6,14.75,0,0,0,0.63,0,0,14.28,8.51,0,0.63,657.3,0,0,0,0,0,3.44,0,41.34,1.26,0,3.77
108-118,0,0,0,1.13,0.85,72.42,0,0,11.64,0,0,0.56,0.68,0.84,0,25.62,0,8.29,0,901.16,0,0,1.28,0,4.03,0,0,22.42,0,0,8.72
120,0,0,0,11.5,0,46.32,0,0,32.31,0,0,4.47,6.71,0,2.7,8.16,0,0,2.23,1298.07,0,0,0,0,31,0,0,85.85,0,0,19.12
