stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,133.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.05,0,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,102.83,0,0,10.45,0,0,11.41,0,0,0,0,0,0,0
 10-12,0,15.68,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.11,6.53,0,19.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.73,1.08,4.75,0,0,0,0,0,0,0,0,3.72,0,5.5,32.63,0,0,1.33,0,0,0,3.57,5.5,2.04,0,0,0,0
 24-34,0,0,0.65,0,0,0,5.22,0,0,0,0,0,0,0,0,0.76,0,0.63,11.41,0,0,0,0,0,0,0,0.71,3.93,0,5.13,0,0
 36-46,0,0,0,0,5.47,0,2.69,0,0,0,0,4.4,0,0,0,13.38,0,5.44,7.43,0,0,0,0,0,0,0,0,6.09,0,6.8,0,0
 48-58,0,0,0,0,0,0,16.99,0,0.78,1.94,0,0,0.44,2.78,0,8.87,0,1.01,8.41,0,0,0,0,0,0,0,0,0,0,0.54,0,0.63
 60-70,0,0,0,0,0,0,14.23,0,1.77,9.78,0,0,0,0,0.59,28.7,0.65,1.18,12.32,0,4.08,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,14.03,0,0,0,0,0,29.03,0,0,5.09,0,0,0,2.24,1.26,0,0,0,1.98,0,0,0,0
 84-94,0,0,0,0,0.73,0,2.29,0.84,5.36,6.2,0,0,0,0,0.62,19.48,0,2.44,14.61,0,0,0,0,1.35,0,0,0,0,0,0,0.92,0
 96-106,0,0,0,0,0.6,0,5.67,0,6.83,13.37,0.88,0,0,0,0,21.4,0,4.62,4.26,0,0,0,0,1.33,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.95,0,2.82,0.88,2.31,9.72,0,0,0,0.55,0,30.29,2.66,2.03,7.46,0,0,0,0,2.86,0,0,0,3.42,1.36,0,0,0
120,0,0,0,0,0,0,0,1.33,6.63,33.48,0,0,0,0,1.28,55.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
