stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0.83,0,0,1.54,0,0,0,1.12,1.37,0
 24-34,0,0,1.1,0,1.82,0,0,0,0,0.96,0,1.54,0,1.91,10.49,0,0,0,0,7.41,1.54
 36-46,0,0,1.08,0,7.88,0,0,0,0,0,0,1.37,0,0,8.86,0,0,4.82,0,2.78,0.62
 48-58,0,0,2.06,0,7.97,1.5,1.43,0,7.78,0,1.04,1.97,2.26,0,26.14,0,0,5.88,0,1.64,1.91
 60-70,0,0,0,0,2.96,0,0,0,8.18,0,0,0,0,2.17,11.11,0,0,2.71,0,0,0.75
 72-82,0,0,0,0,4.54,2.23,0,1.72,0,0,0,8.04,0,2.43,8.09,1.65,0,0,0,0,0
 84-94,0,1.04,0,0,3.39,0.98,0,0,1.83,0,0,14.22,0,0,18.24,0,3.1,1.48,0,6.38,0.69
 96-106,0,0,0,9.26,2.37,0,0,0,0,0,0,3.65,0,0,8.88,0,0.59,0,0,0,0
108-118,1.21,0,0.53,0.66,0,0.78,0,0,0,0,0,7.59,0,1.04,17.09,0,0,1.63,0,0,0
120,0,0,0,3.17,4.36,4.02,0,0,2.32,0,0,27.19,0,0,28.79,0,0,6.41,0,0,0
