stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.6,9.7,0,1.12,0,0,0,0,0,3.99,0,0,0,0,0,0,0.85,2.84,0,0,1.39,42.23,7847.35,0,0,0,6.69,0.81,1,0,4.74,8.34,0,0,0,0,0
 24-34,3.52,0,10.32,8.75,0,25.09,0,0,0.83,8.2,1.32,1.09,5.11,3.97,2.22,0,1.44,14.5,0,30.88,0,0,28.77,426.59,16944.19,1.18,1.62,0,38.92,0,1.44,1.77,4.21,36.38,0,0,12.53,0,10.73
 36-46,0,0,15.87,0,0,47.04,8.13,1.85,0.65,8.74,0,0,0.95,11.5,0,0,0,0.62,11.8,22.28,0,0,9.76,294.74,18496.67,2.79,0,0,50.7,0,0,0,0,55.96,0,0,14.38,0,1.45
 48-58,15.98,0,6.92,0,0,128.72,8.56,2.79,2.58,46.3,0,2.08,0.82,9.97,0.37,1.54,0,0,10.48,38.86,0,1.13,15.43,392.87,19665.9,1.98,2.06,0,8.21,0,0,6.15,0,87.16,0,0.9,5.54,0,24.55
 60-70,82.89,0,16.91,5.03,0,147.84,0,0,3.56,28.52,0,0,0,2.13,0,8.93,0.61,0,0,32.16,0,0.75,7.61,221.29,14959.89,0,19.84,0,15.81,0,0,1.44,0,54.58,0,0,0.96,0,30.84
 72-82,0,0,10.31,3.7,0,116.28,1.33,4.77,1.27,30.73,2.56,24.28,0,5.84,0,0,1.04,0,0,53.54,0,0,4.25,194.01,10178,4.82,0.55,0,5.99,0,0,0,0,22.43,0,0,7.62,0,17.19
 84-94,11.69,0,4.54,11.53,0,85.19,0,1.88,0.94,20.51,2.47,0,0,3.4,1.84,3.88,0,0,0,23.32,1.51,0.57,4.72,127.96,17397.58,0,0,0,18.33,0,0,0,0,18.05,2.36,4.15,2.91,4.72,3.62
 96-106,46.52,0,6.76,58.17,1.05,112.28,14.07,7.12,0,45.17,1.55,0,0,8.49,0,0,3.94,39.76,0,56.3,0,0,11.55,114.62,11098.36,0,4.01,2.4,33,0,0.73,0,0,4.31,1.57,1.87,10.03,4.11,3.29
108-118,48.56,0.52,21.58,16.72,0.53,86.73,0.64,2.23,0.75,36.17,21.12,0,1.57,13.15,0,2.3,3.88,13.57,3.18,119.98,0.59,4.46,8.15,292.33,12240.12,3.9,5.6,1.23,26.82,0,0,0,0,11.49,0,4.97,16.08,2.84,11.91
120,67.26,0,11.18,29.39,2.83,91.41,0,1.23,1.85,55.59,9.32,20.81,0,12.63,3.26,0,1.74,22.8,0,63.62,0,11.07,9.17,292.71,16897.21,0,5.44,0,8.98,0,1.02,1.47,0,2.78,0,0,0,1.43,17.27
