stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,379.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.57,274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.12,0,0,0,0,27.23,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,198.73,4.4,0,0,30.63,0,0,7.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,5.97,0,0,20.57,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,229.97,0,0,0,56.97,0,0,5.47,0,4.87,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,5.87,1.18,3.63,0,0,0,0,0.97,0,0.96,0,0,0,0,0,2.66,0,0,3.92,86.57,1.01,0,3.15,0,0,6.51,0,1.12,0,0,5.92,22.86,0,0,0,0,0
 24-34,0,0,0.9,0,3.45,0,10.82,0,0,0.74,5.14,0,0,2.33,0,0,0,0,0,8.04,0,0,3.01,188.67,0,4.95,3.37,0,0,1.02,0,0,0,0,0.62,52.02,0,0,6.34,0,0
 36-46,0,0,0,0,5.58,0,43.55,0,0,0,7.7,0,0,0,0,2.07,0,0,0,23.96,0,0,4.48,284.67,1.39,0.93,1.46,0,0,0,0,0,0,0,0,80.84,0,0,2.15,0,2.83
 48-58,0,0,0,0,0.37,0,99.02,0,1.19,0,16.42,0,0,0.39,0,0,0.4,0,0.51,22.59,0.57,2.46,2.8,265.74,0,1.97,1.14,0,0,0,0,0,0,0,0,83.64,0,0,0,0,0
 60-70,0,0,0,0,12.36,0,140.94,0,0.61,0.87,20.28,0,0,0,0.69,0.92,0,0,0,49.03,0.85,1.28,4.15,304.67,0,8.35,0,0,0,1.62,0,0,0,0.62,0,59.47,0,0,1.09,0,0
 72-82,0,0,0,0,1.68,1.14,165.04,0,0.56,6.7,29.1,0,0,0,5.14,0,1.84,7.38,0,33.97,0,1.04,1.46,188.06,0,4.04,1.77,0,0,0,0,0,0,0,0,26.35,0,0.85,2.75,0,0
 84-94,0,0,0,0,7.74,0,126.14,0,2.92,0,18.03,6.74,0,4.57,2.87,0.79,1.34,0,1.05,23.81,0,5.56,0.68,171.02,0,3.31,0.69,0,0,3.41,0,0,0,0,0,53.7,1.37,0,10.21,0,2.6
 96-106,0,0,0,0,5.2,4.63,104.83,0.93,0,0.82,29.87,3.16,0,0,0,0.87,1.79,0,0.69,39.38,1.49,3.47,2.31,144.2,0.58,3.57,1.5,0,1.03,7.77,0,0,1.27,0,0,5.05,0,1.64,5.41,2.57,0
108-118,0,0,0,0,5.54,0,126.01,0,2.36,0,34.39,0.61,0,0,1.24,0,2.92,0.6,0,18.97,0,3.45,0,246.24,0.46,3.49,0.83,0,0,6.59,0,0,0,0,0,25.47,0,0,11.15,3.67,0
120,0,0,0,0,12.67,0,67.45,0,1.25,3.57,12.28,0,0,0,4.91,0,1.75,0,0,52.32,3.31,0,5.21,327.83,0,0,0,0,0,0,0,0,0,0,0,18.71,0,0,6.7,5.56,0
