stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.45,34.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,80.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,5.1,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.34,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65,0,0,20.22,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,1.13,29.66,0,0,0,0,0
 24-34,0,0,0,0,1.61,0,10.46,0,0,0,0.65,0,0,0,0,0,0,3.58,1.12,0,0,0,365.91,0,0,0,0,0,1.74,0.73,109.79,0,0,1.11,0,0
 36-46,0,0,0,0,1.07,0,12.05,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,1.23,577.38,1.87,0,0,0.62,0,0,0.8,124.12,0,0,0,0,0
 48-58,0,0,0.46,0,2.64,0,31.55,0.53,0,0,9.5,0,0,0.85,0,0,0.54,0,4.61,0,0,2.27,671.97,0,0.76,0,0.52,0.53,0,0,94.28,0,0,0,0,0.46
 60-70,0,0,11.44,0,12.92,0,148.65,0.81,0,0,23.51,1.88,1.7,0,0,0,1.42,0,7.71,9.06,0,1.57,1250.71,0,0,0,4.52,1.71,0,0,68.94,0,0,0,0,7.73
 72-82,0,0,16.36,0,3.57,16.15,256.62,0,1.61,0,39.24,0,0,0,0,2.68,2.75,21.32,18.91,0,0,6.11,1497.7,1.65,0.54,0,5.65,3.54,0,0,40.47,2.98,1.54,0,0,0
 84-94,0,0,7.57,0,9.62,0,301.74,1.97,0.65,0,43.86,1.68,4.56,0,0,0.67,1.51,0,17.7,0,0,4.72,964.16,0,2.93,0,14.22,0,0.69,0,21.63,0,1.6,0,0.63,6.59
 96-106,0,0,39.82,0,3.66,9.78,198.91,0,0,4.66,41.64,4.54,0,1.05,0.77,0,3.41,0,11.59,0,0,14.82,1017.89,0,0.79,0,6.77,0.7,0,0,28.74,0,4.61,4.2,0,1.24
108-118,0,0,26.09,0,12.33,0,355.1,0.61,0,1.5,20.07,4.27,0,0,0,0,1.93,0,20.17,0,0.69,2.72,1485.25,0,3.37,0,2.69,1.69,0,0,29.75,0,1.44,2.35,0,1.42
120,0,0,65.54,0,1.43,0,264.6,19.94,0,0,105.44,0,0,0,0,0,0,1.88,1.55,0,0,3.51,2627.32,2,0,0,0,0,0,0,37.64,0,5.47,0,0,0
