stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.06,1517.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.15,0,0,0,0,0,0,0,0,0
  5-6,25.59,356.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,80.55,0,0,0,0,0,0,0,0,0
  7-9,14.46,8.84,0,0,0,0,0,34.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.16,14.49,0,0,26.88,0,8.46,0,0,0,0,0,0,0,0,0
 10-12,0,28.53,0,33.67,0,4.69,0,40.66,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,884.87,33.61,0,0,181.42,0,7.2,0,24.58,0,9.42,0,0,0,0,0
 14-21,0,0,1.38,3.91,30.79,5.82,0,22.76,0,0,0,2.63,0,0,4,0,0,0.87,0,1.76,1.05,25.51,0,0,9.12,499.38,4.77,2.59,8.46,2.97,0,16.7,16.72,1.78,5.68,130.85,0,0,0,0,0
 24-34,0,0,1.65,1.39,18.36,2.88,0,82.33,0,0.86,0.83,15.3,1.16,0,0,0.9,0.79,0,3.22,1.01,0,46.45,2.28,0,23.03,821.81,0.95,9.05,12.23,0,0,15.71,0,8.19,1.43,186.79,0,0,17.3,0,0
 36-46,0,0,0,0,32.19,0,0,117.7,0,18.08,1.36,19.73,0.66,0,0,7.53,5.24,0,0.8,0,0,53.61,3.65,0,12.56,632.01,1.26,6.22,12.29,0,0,42.24,0,0.75,0,155.22,0,0,0,0,1.27
 48-58,0.39,0,0,0,12.62,2.31,0,215.87,0,1.1,6.83,59.37,2.38,0.37,0,0,0,2.95,0.49,4.06,0,76.91,0.83,2.71,8.4,400.8,4.08,2.79,2.67,0,0.53,34.53,0,0,0,118.38,0,1.32,13.85,0,14.47
 60-70,0,0,0.7,0,12.83,0,0,220.29,3.1,0,1.57,78.54,0,5.9,3.57,6.38,2.1,0,1.27,1.8,1.22,102.54,0,9.3,6.43,361.72,1.57,0.83,10.22,0,1.9,7.72,0,0,0,63.34,0,2.55,11.87,0.98,5.69
 72-82,0,0,3.25,0,7.89,3.2,0,229.91,0.6,0,1.52,59.32,4.38,0.55,2.3,0,4.62,0.59,2.21,17.08,0,156.1,1.09,4.33,6.14,236.76,0,6.1,14.08,0,2.19,4.58,0,0.66,0,27.4,7.28,3.07,9.13,3.62,7.31
 84-94,0.62,0,4.07,0,10.86,1.82,0,156.73,0,1.91,6.9,59.47,9.17,0,0,4.68,8.37,1.27,0,11.7,0,119.51,1.26,3.39,10.91,195.07,0.57,11.27,8.45,0,0.57,14.45,0,1.46,0,25.38,0.66,4.93,14.22,4.28,0.7
 96-106,0,0,0,1.03,15.8,7.1,0,141.18,1.28,0.69,4.62,52.16,6.67,0,2.17,4.98,3.35,2.23,1.42,5.88,0.77,95.9,3.08,3.24,12.96,135.37,0,28.15,14.16,0,0,7,0,0.87,0,8.89,7.08,0.62,33.86,4.92,1.89
108-118,0,0,2.46,0,13.85,6.75,0.45,129.89,0,1.14,1.66,61.16,5.47,0,0,5.18,5.48,1.61,0.63,4.41,1.8,84.53,3,2.06,13.52,249.18,0.67,5.35,9.02,0,2.7,10.52,0,0,0,4.83,2.45,2.87,16.31,1.1,1.58
120,0,0,0,0,15.84,1.79,0,109.67,2.85,10.78,1.88,47.48,3.39,0,0,13.54,1.07,0,1.6,3.17,0,96.88,0,2.08,6.27,256.15,3.87,17.31,17.41,0,0,9.99,0,1.86,0,13.78,0,20.55,9.21,8.42,1.64
