stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,121.18,2.75,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,9.77,0,0,0,2.09,0,0,0,0,3.3,3.78,12.07,4.22,0,0,0,0
 24-34,0,0,133.89,0,0,0,0,0,0,0,0,0.98,0,3.66,0,0,0,0,68.54,0,24.38,2.12,14.85,1.39,1.45,0,6.11,0.98,0,0,14.36,0,0,0,0
 36-46,0,0,182.31,2.92,0,1.57,3.42,0,0,0,0,0,0,0,0,0,0,0,126.14,0,131.93,0,99.19,0.6,0,2.13,6.04,0,0,0,10.53,0,9.94,0,0
 48-58,0,1.72,270.65,0,0,7.34,0,0.58,1.2,10.52,0,0.64,0,5.56,0,0.91,0,0,74.76,6.92,348.28,0,74.11,0.38,0,8.56,46.74,5.99,0,0,20.7,0,41.77,4.98,0.78
 60-70,0,0,273.05,0,0,0.93,0,1.61,0,0,0,0,0,0,0,0,5.1,0,42.47,2.49,280.89,23.06,61.89,0,6.22,1.46,14.54,0,0,0,0,1.53,126.2,0,46.6
 72-82,0,0.75,221.57,0,0,19.64,1.69,0,1,0,1.52,0.53,1.64,0.83,0,1.2,0,0,58.62,0,161.63,19.65,49.42,0,0,0,18.38,0.61,0,0,7.21,21.31,167.9,0,134.09
 84-94,0,0,318.01,0,0,24.72,2.24,0.62,0.75,5.86,2.01,1.1,0.55,0.66,0,0,0,0,29.71,0,186.85,34.55,20.75,0,0,2.59,13.32,2.7,0,0,1.29,63.23,177.95,11.15,121.1
 96-106,0,0.71,278.09,2.52,0,26.77,12.36,4.2,0,5.81,15.46,0,8.69,0.58,5.63,0,4.76,0,34.41,0,125.41,30.69,41.85,0,0,0,32.97,15.73,0,0,3.79,117.09,87.37,3.17,154.06
108-118,0,0.45,209.41,0,0.44,15.52,1.08,0,2.53,6.77,19.24,1.62,0.78,1.49,0,0,0,0.91,18.57,5.21,144.07,38.43,36.5,1.66,0,0,43.61,1.85,0,0,0,126.52,59.57,1.08,68.82
120,0,0,124.73,0,0,11.06,2.94,3.23,0,0,9.11,0,3.15,2.33,0,1.69,0,0,0,5.14,85.03,19.37,86.97,0,6.01,1.28,25.33,0,0,0,0,11.85,210.78,1.54,130.29
