stage,axial,blastomeres,endocrine.pancreas,eye,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,11.51,377.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0
  5-6,15.8,247.8,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,6.9,0,0,0,0,0
  7-9,0,0,0,9.24,0,0,0,0,0,0,0,0,0,40.68,8.24,0,0,17.81,0,5.42,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,5.01,0,0,19.17,0,0,0,0,0,0
 14-21,0,0,0,3.44,5.17,0,0,0,0,4.19,0,0,0,9.62,1,1.51,1.78,0,0,0,0.87,3.78,0.96,21.9
 24-34,0,0,0,3.74,4.05,2.67,0,0,0,1.13,0,0,0,19.27,0,3.45,3.1,0,0,0,0,1.53,0,8.81
 36-46,0,0,0,0.63,8,0,0,0,0.77,0,0,0,0,19.27,0,1.51,1.2,0,1.02,0,0,0,0,18.17
 48-58,0,0,0,3.09,1.72,0,0,0.37,0,0.77,0,0,0,21.67,0,0.81,0,0,0,0,0,0.4,0,7.83
 60-70,0,0,0,3.56,2.77,0,9.21,0,0,0.86,1.53,0,0,11.79,0,2.28,0,0,0,0,0,0,0,2.62
 72-82,0,0,0,2.06,5.57,2.04,0,0,0,1.11,0,0,0,5.55,0,0.74,0.9,0,0,0,0,0,0,5.01
 84-94,0,0,0,0.79,5.25,0,0,0,0,0,0,0,0,0.57,0,0.8,4.02,0,0,0,0,1.47,0,3.37
 96-106,0,0,1.1,6.1,7.53,1.17,0,0,7.61,1.37,0,0.93,0.8,10.48,0,4.84,2.35,0,0,0,0,0,0,1.07
108-118,0,0,1.22,4.71,3.87,0.86,0,0,0.43,5.57,0,0,0,3.72,0,2.83,1.22,0,0,0,0,1.06,0,0
120,0,0,3.73,4.28,16.84,0,0,0,3.21,2.51,0,0,0,3.96,0,0,8.31,0,0,0,0,1.86,0,0
